#{"t_start": 1712519199.5629296, "env_id": "MountainCarContinuous-v0"}
r,l,t
54.874025,550,2.794812
73.400792,302,3.628061
89.305289,115,3.968399
85.298852,169,4.476766
84.806101,215,5.073025
85.329953,161,5.51152
93.618895,68,5.680382
77.669413,312,6.473448
88.499131,118,6.81063
77.332501,295,7.628119
91.256004,107,7.929835
89.408859,133,8.779183
90.605697,127,9.145506
86.691718,148,9.581741
85.460599,155,10.021495
88.321215,121,10.361815
92.340236,79,10.578455
79.245623,245,11.238265
80.332302,227,11.828269
87.669268,129,12.163155
84.242502,174,12.658844
81.53829,228,13.288292
89.602544,119,13.630989
87.804082,187,14.140572
86.892794,165,14.662762
92.026617,82,14.926162
92.205984,87,15.179752
90.924993,97,15.478336
90.746633,96,16.228209
83.420019,195,16.749728
84.037289,203,17.37835
83.073538,189,17.870354
93.737429,68,18.064454
92.577148,83,18.326119
92.309248,86,18.638376
90.242988,98,18.902669
92.007325,94,19.163328
91.571854,103,19.46936
93.060433,81,19.70871
86.910401,138,20.090027
86.642657,158,20.546095
90.113106,111,20.867261
79.530559,219,21.443045
92.383197,86,21.7012
84.114522,169,22.171531
92.949686,87,22.372598
92.087287,91,22.618085
93.27343,74,22.818104
87.091724,148,23.203711
89.068114,134,23.878228
91.31097,117,24.097614
89.146845,116,24.381234
93.413192,81,24.564603
65.345308,369,25.435768
85.470707,157,25.805955
90.394143,98,26.088397
86.397623,149,26.48837
91.435903,89,26.729381
90.853543,92,26.979542
85.958528,155,27.414665
91.99248,83,27.640996
93.643896,73,27.811336
91.898852,84,28.018394
91.843872,84,28.268367
80.177479,217,28.908278
92.721358,90,29.184412
92.326222,81,29.468194
93.397232,85,29.732451
83.602529,176,30.618634
83.863775,174,31.068515
82.04482,185,31.588197
89.627584,113,31.968081
91.003489,105,32.246351
89.12886,112,32.560531
86.546165,142,32.930532
86.79795,143,33.280835
82.963939,196,33.808365
90.997384,106,34.139424
84.048523,165,34.61077
75.680786,294,35.372986
91.696399,84,35.589753
89.58015,131,35.914479
90.838695,97,36.158281
82.718518,178,36.615467
85.805458,162,37.041079
91.62128,92,37.698014
91.665687,85,37.939057
91.82323,82,38.21031
86.115386,144,38.835221
89.604685,121,39.301973
82.719706,194,39.988456
93.450366,66,40.183947
83.775793,186,40.677173
91.096035,110,40.982087
93.547808,78,41.200451
91.71167,93,41.476048
91.569448,98,41.781499
90.939865,94,42.047807
88.450005,130,42.411545
91.091984,91,42.647033
88.534205,124,42.946729
84.001942,162,43.336243
91.749309,87,43.546376
87.85525,142,43.886515
77.861259,244,44.512709
93.172066,70,44.679584
85.479588,146,45.371171
91.9,81,45.561628
93.311228,93,45.822685
92.815977,75,46.04053
90.305791,100,46.336554
89.726539,109,46.636145
91.232869,89,46.846312
76.770277,254,47.492893
85.34651,161,47.901275
91.380931,88,48.124422
87.417988,146,48.52622
91.100794,89,48.756237
92.148786,93,49.00116
81.944531,183,49.431146
92.581357,75,49.607251
91.268128,89,49.824824
93.741002,68,49.981312
91.279323,90,50.207331
84.24515,173,50.616471
90.464859,126,50.921633
91.812941,85,51.121181
91.8,82,51.308285
93.931804,70,51.523054
93.368744,69,52.072878
92.52599,84,52.336196
90.869895,92,52.586222
92.242292,88,52.7877
91.064235,91,53.00066
91.454298,91,53.206227
91.546437,86,53.411521
91.378184,88,53.62623
90.955745,91,53.832505
92.131551,82,54.031312
91.226249,89,54.231174
91.688139,85,54.427283
92.186279,79,54.604313
91.677067,100,54.846536
91.546696,87,55.069554
91.355404,88,55.278239
91.553181,90,55.496593
90.730311,95,55.736942
91.139032,90,55.956519
86.027827,160,56.330668
91.34059,88,56.54625
91.566496,85,56.756185
91.507388,87,56.967336
84.52157,180,57.396131
90.658198,94,57.650581
91.839363,84,57.86427
92.6,74,58.036142
91.247293,99,58.70634
90.2,98,58.960781
87.250988,144,59.298321
91.542381,86,59.496282
91.630192,85,59.689411
83.378795,196,60.1475
91.132011,107,60.406556
81.320487,205,60.89865
91.382798,88,61.106212
91.322947,88,61.296808
91.658642,101,61.536437
91.479715,86,61.741551
91.486854,101,61.976212
92.769397,79,62.159381
92.441661,78,62.320383
93.045465,73,62.489843
79.745896,236,63.077911
85.435138,159,63.451127
91.841865,83,63.660992
85.498544,153,64.027375
91.640149,85,64.226527
85.838097,151,64.936265
91.874599,88,65.159535
91.697804,89,65.436301
92.427494,94,65.69234
87.579266,133,66.008377
92.773296,75,66.206271
92.008987,82,66.416354
91.679127,85,66.637551
91.71118,87,66.877756
91.269056,89,67.136277
91.533996,100,67.487142
92.343908,80,67.734811
91.329388,88,67.998079
92.665393,80,68.22135
92.152719,87,68.501298
92.522054,78,68.776113
90.78095,108,69.141409
91.498785,87,69.366361
91.365174,89,69.596162
91.971703,82,69.812176
86.070352,148,70.206222
92.345865,79,70.436381
92.042955,96,70.73791
90.787713,95,71.038174
92.070159,94,71.326111
90.154416,102,71.606383
91.504766,85,71.826475
91.028537,91,72.416315
91.13587,91,72.669176
91.461981,87,72.938092
91.772613,89,73.189708
92.148662,81,73.386061
83.474635,171,73.907188
94.222554,82,74.189836
93.61911,70,74.402021
91.4,86,74.633522
85.031715,156,75.041257
92.175001,81,75.250998
91.732295,85,75.485847
91.311292,89,75.741889
89.999391,105,76.014755
89.876179,102,76.315413
91.787211,83,76.524789
92.697332,99,76.758185
87.752644,147,77.105768
91.408345,95,77.337201
92.407828,85,77.535437
91.753694,93,77.754937
90.336082,111,78.01559
90.788123,95,78.269897
91.182684,89,78.489485
91.145061,90,78.717427
86.773287,143,79.375232
91.33342,93,79.614116
84.257997,161,80.046821
91.334891,88,80.31178
84.250952,164,80.781492
84.051052,171,81.247947
91.827262,84,81.448207
91.358361,88,81.66061
91.156904,91,81.895473
91.427043,87,82.108115
92.395303,79,82.308159
91.666198,85,82.527037
89.920518,104,82.777309
91.425795,87,82.993442
91.266522,90,83.200267
90.74606,94,83.449893
91.533732,85,83.660432
91.5,85,83.854356
92.768512,78,84.034873
88.262909,122,84.336418
85.904878,145,84.724841
82.609485,181,85.140694
85.432586,153,85.508954
91.230919,90,86.041696
90.3,97,86.267875
91.613156,86,86.479305
91.59831,85,86.680984
90.932994,92,86.906995
91.948332,84,87.106523
91.4,86,87.289682
91.861161,82,87.49657
91.516528,87,87.698616
80.96321,198,88.195533
91.748779,85,88.390194
91.454369,87,88.6018
91.459002,87,88.808312
92.740814,75,88.970968
91.796181,83,89.159165
92.209156,80,89.347639
90.7,93,89.56985
93.205287,73,89.761009
91.531815,86,89.970072
89.239405,117,90.231141
91.096662,93,90.434806
91.443274,87,90.686866
91.231407,89,90.926
91.863317,86,91.151861
90.828961,93,91.396415
92.348476,83,91.620391
91.411691,87,91.838054
91.725284,87,92.38384
92.002485,81,92.562825
89.98712,101,92.821498
91.047594,91,93.035917
91.662669,85,93.234443
91.322866,88,93.483591
92.717231,74,93.667986
91.156199,90,93.904381
92.048881,81,94.111417
91.639347,85,94.311414
