#{"t_start": 1712519199.5674071, "env_id": "MountainCarContinuous-v0"}
r,l,t
93.002996,90,1.509933
26.031811,928,4.123942
88.81678,127,4.495594
93.075653,80,4.718899
80.730987,229,5.353895
87.005954,163,5.780865
93.099096,90,6.041736
76.204351,307,6.81373
83.8113,182,7.316171
82.24744,230,7.963646
91.817718,96,8.69597
89.044833,135,9.097729
89.578616,148,9.528678
92.847096,81,9.759278
91.742418,93,10.025232
86.221351,154,10.470128
89.156459,131,10.811963
89.538796,134,11.16363
76.430453,299,11.943591
83.474846,171,12.423812
82.476865,208,13.005189
85.5682,178,13.514714
91.661737,88,13.76389
73.414916,312,14.674094
93.387571,84,14.943617
93.325997,67,15.135636
68.856381,357,16.623785
82.064864,208,17.247712
93.827551,75,17.475977
87.111137,150,17.858732
92.79357,75,18.065858
92.0,80,18.323709
86.164205,177,18.883602
90.608128,97,19.153837
88.745977,149,19.589
92.811429,82,19.833763
92.339591,78,20.039011
89.661216,104,20.273752
76.641156,279,21.113618
91.622858,87,21.353548
90.536396,95,21.608813
87.22063,162,22.083727
91.631686,89,22.29945
80.079859,227,22.889338
88.602111,125,23.590461
84.602277,164,23.929797
90.632317,102,24.144716
90.853899,116,24.42401
91.764831,85,24.623816
91.096317,98,24.843909
92.281553,80,25.035303
91.747645,84,25.236006
92.15885,81,25.433878
89.361524,117,25.708338
89.843995,113,26.0223
78.792631,227,26.620738
81.53463,203,27.190923
91.07291,92,27.443897
91.752568,84,27.672955
92.629943,78,27.85921
92.240815,90,28.107564
91.363533,90,28.364042
78.388906,227,29.043664
86.659262,140,29.51028
89.137484,113,29.833822
90.767196,99,30.098545
91.985999,82,30.729058
92.520444,90,30.954995
89.745268,106,31.245825
93.373105,76,31.449069
90.051618,106,31.786117
91.415969,88,32.079894
89.408516,117,32.38725
89.228205,121,32.702696
90.779743,93,32.953935
90.298047,110,33.226715
91.434956,88,33.449321
89.540932,106,33.735449
91.831247,89,34.02378
92.820172,79,34.23997
92.138904,82,34.463911
94.074161,77,34.68043
85.417146,151,35.083757
89.798868,124,35.401327
91.938973,81,35.607173
84.295304,162,36.016527
85.858691,168,36.427848
88.673457,114,36.714946
91.573844,89,36.950906
93.284567,75,37.157488
92.777149,79,37.787021
91.917423,85,38.07386
92.174791,89,38.388115
90.780306,104,38.843121
82.822012,177,39.495787
89.076158,122,39.94136
92.95704,73,40.155741
84.133194,167,40.606723
85.774989,177,41.101692
91.956147,82,41.333774
86.840086,143,41.771967
94.215721,80,42.001631
91.001713,91,42.251991
89.210323,121,42.583072
91.999842,116,42.861706
88.713498,152,43.23552
88.475922,128,43.53675
93.131948,75,43.734914
91.258578,98,43.974612
87.964062,148,44.344692
91.896152,89,44.557163
83.141515,185,45.34396
92.028596,82,45.538013
90.88732,94,45.799486
90.527802,110,46.14099
92.664729,92,46.40164
92.898393,90,46.631668
91.168039,91,46.851793
85.596529,153,47.247017
91.83801,82,47.453128
92.057454,86,47.672186
91.415646,87,47.89179
92.896858,78,48.082031
90.42837,107,48.371828
89.86076,107,48.649009
92.901527,73,48.842064
91.160889,90,49.076827
91.640611,87,49.28162
92.935705,74,49.453071
92.393422,77,49.636202
90.842662,104,49.894948
92.931209,73,50.062041
89.219338,127,50.363953
92.245986,81,50.551594
77.297125,260,51.184766
91.417603,87,51.416816
91.8,82,52.000279
92.58758,79,52.225194
94.414473,70,52.446719
91.424277,86,52.669499
90.8314,93,52.884076
92.630693,84,53.083251
88.153144,137,53.391875
91.522868,86,53.607085
91.658423,84,53.799902
93.241331,69,53.966503
77.04961,246,54.522844
92.894923,79,54.715053
91.504965,87,54.936698
93.000301,74,55.101855
91.471996,91,55.321716
91.3,87,55.535323
90.33332,97,55.774021
87.322474,136,56.101838
91.678408,85,56.301812
83.353316,184,56.758657
88.032498,138,57.083714
89.605253,107,57.346889
92.490428,78,57.552023
91.071346,90,57.781899
77.673959,246,58.827848
91.67946,85,59.046592
94.359503,82,59.215011
91.836134,84,59.410456
89.931462,104,59.651989
93.126343,73,59.827599
91.950451,82,60.027717
92.672868,88,60.243336
92.630325,77,60.416758
92.134998,82,60.597661
92.258244,93,60.816625
92.825719,82,61.021672
91.619477,87,61.226138
86.885935,150,61.561724
91.959524,83,61.764934
91.707414,93,61.9819
92.542986,87,62.179043
92.009585,81,62.351885
85.908059,146,62.701602
92.751474,74,62.891711
92.966488,82,63.092033
