#{"t_start": 1712518883.7103229, "env_id": "MountainCarContinuous-v0"}
r,l,t
80.89906,231,1.007695
77.195522,344,1.408414
67.914417,438,1.904758
81.278312,268,2.218636
59.213507,443,2.721285
83.76189,184,3.020964
89.638333,122,3.172541
86.237725,172,3.353475
66.450878,437,4.095817
86.502644,153,4.275226
88.0787,142,4.446221
84.639826,181,4.635833
86.217724,183,4.835685
89.699421,109,4.944966
89.481125,118,5.070386
77.527537,267,5.376527
89.843885,125,5.53012
81.975127,220,5.796791
91.467391,92,5.897338
89.114021,119,6.054389
90.416718,106,6.171624
85.739936,169,6.350007
92.764727,90,6.444573
92.561096,79,6.538802
87.179451,152,6.719644
91.768338,85,7.007356
92.089575,118,7.163923
93.528867,81,7.255242
91.686337,85,7.33328
88.378581,142,7.526515
92.336154,79,7.612115
91.481713,88,7.706266
89.931107,104,7.816655
88.12366,130,7.958112
93.54254,76,8.03662
91.105499,119,8.177646
91.751014,84,8.256169
91.603088,86,8.364521
92.576548,107,8.490911
91.915933,86,8.6013
86.487302,209,8.831877
92.521756,90,8.928275
91.168547,99,9.034441
92.985436,73,9.100955
91.970604,82,9.195124
93.526169,76,9.282484
90.821185,106,9.395364
83.065275,176,9.587023
92.684712,75,9.665551
93.133665,71,9.759952
93.059087,74,10.041068
85.255764,162,10.229004
93.482062,80,10.335922
86.789817,141,10.510694
92.014267,90,10.604843
91.891667,82,10.683363
91.646167,98,10.816523
93.241079,80,10.893959
83.439617,186,11.121545
89.284264,120,11.247334
92.127506,89,11.347222
91.877288,83,11.4414
93.131686,77,11.527836
84.607281,159,11.700508
93.437877,77,11.783334
82.983507,176,11.971993
93.036221,74,12.061124
92.476262,77,12.139637
93.770692,78,12.217767
87.748961,129,12.359754
83.993048,203,12.578997
92.329226,77,12.657541
93.561344,68,12.738677
86.530504,157,13.079146
92.3,77,13.158075
88.787314,114,13.303479
92.232755,80,13.405666
92.211675,79,13.500159
90.309348,113,13.627847
89.83092,109,13.778147
93.977145,71,13.858364
92.051169,82,13.968145
93.137579,75,14.06229
79.588488,216,14.357847
92.857127,78,14.452095
88.983978,172,14.652994
91.256192,90,14.740988
92.873297,76,14.825867
92.772896,76,14.920131
91.650895,84,14.999541
92.250326,80,15.093069
