#{"t_start": 1720870395.809058, "env_id": "MountainCarContinuous-v0"}
r,l,t
66.620777,462,1.668532
69.90771,421,2.150558
83.08603,205,2.565447
86.262886,164,2.76543
76.01564,276,3.049678
77.968901,236,3.333311
94.399341,84,3.459152
92.190948,84,3.548869
87.015851,134,3.701672
93.720962,73,3.764124
69.938554,344,4.133174
91.661583,85,4.56404
78.934876,249,4.842029
70.793778,343,5.231946
88.399282,174,5.448035
90.35573,115,5.564887
87.146088,168,5.740943
79.777932,250,6.042102
83.983335,198,6.334582
89.78082,125,6.576608
86.728677,137,6.761426
80.610125,232,7.040731
85.963863,190,7.240686
79.099369,228,7.562213
86.88818,141,7.961339
92.303978,82,8.039758
92.744881,78,8.160931
93.198837,85,8.255226
89.778919,111,8.376637
90.129945,99,8.495425
82.305509,198,8.720575
93.055283,78,8.81167
88.367149,134,8.961566
83.772701,194,9.27303
91.904144,96,9.405895
87.795483,136,9.543154
93.344477,92,9.698159
90.733295,118,9.821539
89.59355,117,9.943755
89.313996,126,10.077137
93.371567,74,10.22177
86.331425,149,10.373563
86.409808,144,10.557721
93.222034,88,10.636319
93.774597,75,10.726284
90.807319,110,11.005219
92.863247,92,11.123998
88.041985,147,11.290858
90.985682,117,11.424392
93.297025,74,11.502251
87.745933,136,11.756277
90.707638,105,11.932614
88.08287,123,12.042058
85.350222,160,12.226131
87.877375,152,12.441861
92.245845,87,12.541226
91.553278,86,12.635373
73.79593,296,12.97159
92.58691,80,13.080068
87.831514,144,13.220078
84.9079,175,13.461457
92.4,76,13.539321
88.007562,127,13.687501
87.709001,132,13.833533
91.752751,88,13.940306
93.199112,70,14.050087
85.451212,165,14.385603
91.301083,96,14.494566
93.138472,71,14.553861
90.320362,106,14.664356
89.842292,106,14.770284
93.082242,74,14.833172
90.827499,101,14.970282
91.584837,92,15.075321
92.594067,77,15.138129
92.532742,78,15.247915
91.980069,87,15.355575
91.421531,91,15.472335
92.9203,73,15.588664
92.514592,77,15.671979
91.86203,85,15.755293
91.702224,84,15.855804
91.735855,83,15.937696
90.492089,99,16.04696
92.437986,78,16.131613
91.527111,99,16.231895
91.169085,95,16.332131
93.95889,78,16.434562
93.832995,80,16.521472
91.255413,94,16.631307
76.287209,268,16.936947
91.885835,83,17.046724
92.447119,79,17.299802
92.066172,85,17.399757
93.702411,77,17.482934
85.563924,155,17.636777
91.9,81,17.734134
91.43181,86,17.836626
91.466213,89,17.919768
89.244986,115,18.071135
87.993044,132,18.303705
93.523033,68,18.381745
92.679678,90,18.469303
92.606174,79,18.566556
91.712819,90,18.678919
91.6,84,18.750363
92.993113,71,18.81287
91.999217,99,18.919349
85.739395,162,19.092174
91.95527,82,19.166619
93.933175,69,19.245129
91.016701,93,19.349465
94.211639,84,19.44361
94.001406,72,19.518811
91.454321,87,19.61295
91.654929,85,19.720626
80.952234,261,20.011856
90.558016,104,20.260809
89.2829,120,20.379839
90.102241,99,20.48806
92.716196,75,20.611253
92.471576,77,20.700551
94.591699,81,20.812626
77.667697,245,21.100066
86.143794,154,21.267789
92.393853,77,21.350266
86.505179,138,21.495875
92.320257,82,21.564286
87.803992,133,21.709438
91.717566,85,21.795097
92.529637,81,21.883103
85.258336,165,22.082475
85.143228,190,22.274482
92.615749,77,22.348834
91.572465,85,22.482211
92.298867,80,22.61171
83.377753,198,22.881903
94.514861,75,22.97946
91.917491,94,23.098068
91.301336,94,23.341973
92.363875,78,23.425112
92.391793,80,23.507694
91.941668,86,23.610012
93.250357,77,23.699457
75.555225,255,23.962028
91.981319,82,24.043658
93.476113,75,24.130996
92.115133,82,24.244068
90.075662,101,24.344406
91.682005,92,24.430422
90.242624,116,24.56365
89.52136,107,24.68049
91.64132,87,24.761562
89.819135,129,24.913596
92.059377,80,24.991692
91.9,81,25.098327
91.770352,107,25.207877
92.168241,86,25.319841
92.356447,77,25.411151
93.394091,73,25.474478
94.194365,72,25.575854
91.039089,97,25.679036
91.764932,84,25.791867
91.590638,85,25.882795
91.491495,86,25.960134
83.633455,168,26.310451
92.06313,89,26.422427
92.659297,83,26.511794
85.855201,148,26.678336
91.840521,83,26.778219
91.927787,81,26.879222
92.271582,93,26.975764
90.130205,104,27.077891
84.265689,176,27.281434
92.419438,81,27.449028
92.3,77,27.549014
91.195913,89,27.626689
90.26208,100,27.74328
93.075634,71,27.821811
90.892151,92,27.991187
93.410153,69,28.079862
93.275777,83,28.15815
91.879296,82,28.326395
92.47478,78,28.493015
93.001939,75,28.590095
92.100183,80,28.690243
91.7,83,28.759447
92.059629,81,28.853588
91.20979,103,28.973271
91.539119,86,29.051684
91.897208,83,29.141201
92.446929,79,29.235342
92.021551,83,29.469293
90.034341,101,29.589317
91.734153,83,29.70018
91.962487,84,29.795731
93.544258,77,29.858771
90.306494,100,29.975062
91.820322,83,30.058297
92.858587,82,30.175148
91.920103,84,30.253539
93.726542,67,30.324763
91.614785,89,30.453792
91.292169,88,30.553755
90.419526,102,30.650522
87.049664,137,30.772701
91.908465,82,30.890735
86.95322,136,31.034671
91.630875,87,31.123574
92.700659,76,31.274137
91.788696,83,31.370824
91.385063,89,31.493397
92.325999,89,31.586767
91.641462,85,31.692428
92.432993,81,31.770381
91.537131,88,31.856024
93.367071,77,31.941808
90.951252,94,32.021488
91.732164,85,32.10698
93.082268,78,32.201189
