#{"t_start": 1720870395.809058, "env_id": "MountainCarContinuous-v0"}
r,l,t
76.044751,323,1.517117
51.426724,592,2.213357
83.995477,176,2.565447
85.753611,145,2.734114
86.20739,184,2.936992
85.95189,150,3.111414
80.462291,236,3.395807
89.648876,111,3.533185
78.582041,262,3.813505
86.464586,161,3.979785
88.403533,129,4.125016
74.377567,310,4.794753
87.159468,144,4.94928
85.309833,156,5.148216
92.60358,80,5.231946
83.838246,195,5.481746
87.547436,168,5.631255
90.831446,96,5.741942
90.75412,120,5.858419
87.7,123,6.026371
83.768075,195,6.325548
83.68133,192,6.670448
88.253235,123,6.808305
90.615169,105,6.925832
82.467741,201,7.162177
90.712886,100,7.27953
89.797235,110,7.472161
89.492294,110,7.577838
80.075517,249,8.103382
89.945131,108,8.239506
94.421432,75,8.329733
93.575042,82,8.423995
88.355756,159,8.601281
81.611629,219,8.84506
88.310384,127,9.020674
92.55739,89,9.129714
91.087794,110,9.311522
88.95624,117,9.469581
92.695103,87,9.55878
80.778404,206,9.826045
91.060643,96,9.943755
89.323959,133,10.077137
81.671603,210,10.357932
83.006644,183,10.573348
88.08133,130,10.710645
86.191823,146,11.036857
93.371172,80,11.127073
91.749172,83,11.223831
82.564908,189,11.435397
83.463792,176,11.709897
91.779677,94,11.8971
92.730033,77,11.97545
88.608332,131,12.126007
93.21078,76,12.208328
93.070754,81,12.308441
89.607639,120,12.459317
93.952121,71,12.55688
91.059828,103,12.674817
91.592471,86,12.756832
84.75916,159,12.940328
91.7,83,13.039958
87.974912,151,13.188827
87.0245,151,13.413347
88.218633,131,13.554955
92.087569,86,13.64909
92.239119,84,13.739388
89.447186,109,13.873787
88.516874,157,14.25424
90.357743,98,14.338713
76.36641,266,14.616749
86.617663,150,14.770284
86.52509,149,14.938923
90.420142,130,15.087318
92.416291,76,15.153768
89.47498,107,15.30866
87.185355,130,15.455493
92.4,76,15.571957
93.958284,80,15.671979
68.446995,379,16.072682
82.83436,173,16.263015
92.687435,77,16.337638
92.195788,82,16.447536
85.100582,186,16.64732
85.776702,161,16.81514
83.812487,190,17.233809
90.179438,107,17.352446
89.304172,117,17.487907
93.265569,79,17.570124
74.435164,264,17.853696
91.367834,92,17.969764
91.889842,90,18.071135
93.625944,67,18.234697
92.173964,81,18.334864
89.363744,108,18.444629
92.517249,77,18.519769
87.791578,132,18.68844
92.022278,82,18.765995
90.412593,98,18.86575
92.16898,79,18.936112
88.04993,131,19.068727
86.591501,166,19.245129
91.705025,95,19.349465
91.386941,88,19.44361
91.805128,83,19.537438
91.792615,84,19.628575
91.698844,84,19.742512
84.759462,175,19.917515
87.808731,125,20.197228
86.8412,149,20.364215
91.66645,96,20.45929
92.015629,82,20.580028
92.117987,93,20.696662
85.203366,162,20.900515
87.499256,133,21.050522
91.548141,88,21.150264
86.649976,146,21.316837
92.475207,81,21.401349
91.529807,87,21.493877
92.063277,84,21.564286
92.305877,79,21.642797
91.671006,85,21.739705
91.758606,84,21.8268
92.261114,80,21.933065
92.15821,94,22.04806
92.504959,76,22.12485
91.883596,84,22.195464
91.6,84,22.282351
87.214318,151,22.482211
92.291293,81,22.61171
91.461378,87,22.764018
90.579602,99,22.858169
86.743542,145,23.056062
93.433719,70,23.259706
86.554011,155,23.442248
91.309074,88,23.53192
90.619223,97,23.657264
92.182712,79,23.731555
85.294577,165,23.912492
92.451579,78,23.993283
92.060301,82,24.080774
92.005543,81,24.169429
92.412295,86,24.280769
90.990337,103,24.380327
93.207868,72,24.463954
92.34407,82,24.547025
91.252901,89,24.647217
91.926979,82,24.739269
92.421531,80,24.808442
92.564288,83,24.913596
92.771106,75,24.991692
87.05253,140,25.145365
92.372194,79,25.25514
92.209828,80,25.33119
92.027745,82,25.426775
93.246658,79,25.528586
87.709447,137,25.670435
92.082679,88,25.791867
92.030078,84,25.881795
92.587657,77,25.960134
84.728009,193,26.336291
91.733109,86,26.440251
90.051698,129,26.578376
90.301024,118,26.711645
92.027648,81,26.811525
92.947848,74,26.896464
91.052973,93,27.006886
92.513012,78,27.077891
91.940184,84,27.160007
87.807476,124,27.311354
91.046023,93,27.488245
88.563646,122,27.626689
92.542157,81,27.721613
92.604463,76,27.790562
91.714072,101,27.975558
86.985839,143,28.142129
92.143718,80,28.250395
92.695725,74,28.452258
91.488166,86,28.574469
89.610322,113,28.712597
92.50079,80,28.775079
91.444031,89,28.883986
86.671041,146,29.035678
91.998313,85,29.125576
91.7,83,29.204091
92.837806,74,29.437217
91.57655,86,29.55255
91.858066,84,29.636191
85.553228,149,29.808794
92.290334,78,29.892807
92.216826,95,29.991871
91.798802,83,30.091689
91.088776,96,30.191638
91.762007,86,30.292458
92.138179,80,30.404909
92.722855,76,30.499139
88.438863,133,30.634897
93.815663,82,30.714084
92.241205,83,30.788325
92.586186,77,30.898734
92.16567,81,30.972171
91.309198,88,31.074393
91.493782,86,31.172007
91.77588,84,31.323975
92.0,80,31.433325
91.431735,88,31.540004
86.635951,159,31.707501
91.909813,87,31.801637
84.677215,159,31.972459
88.238028,126,32.092979
91.826356,84,32.169925
