#{"t_start": 1720382314.92996, "env_id": "MountainCarContinuous-v0"}
r,l,t
-75.535578,999,1.755017
80.89588,231,1.971489
53.888341,565,2.506721
86.748806,161,2.64892
83.494836,180,2.834823
91.157558,128,2.938447
91.854054,92,3.033573
81.479367,206,3.369288
73.249043,320,3.71366
87.62584,149,3.847985
92.906566,84,3.937843
93.163523,77,4.003965
90.923033,104,4.12102
93.014046,109,4.217529
92.655675,78,4.296599
93.672446,98,4.38351
87.010898,148,4.537607
85.213623,173,4.723476
90.837654,102,4.817354
89.924588,110,4.928427
90.138169,99,5.015193
89.553529,121,5.128942
90.442503,123,5.231701
86.166023,151,5.383818
92.551829,76,5.462737
92.402097,78,5.543529
73.704323,299,5.938218
93.237426,93,6.005632
92.046067,80,6.077648
88.071407,123,6.182217
93.675051,68,6.244758
85.521681,182,6.415029
86.504834,155,6.582943
86.273122,151,6.740442
89.573705,107,6.840297
92.869792,80,6.907675
91.9,81,6.982914
92.174445,83,7.061704
81.883973,184,7.267898
89.916886,116,7.365689
92.88186,91,7.444833
92.351003,79,7.538091
89.90505,109,7.660318
80.740392,223,7.962663
93.158256,69,8.034401
84.70357,166,8.213495
92.537536,82,8.286344
92.807956,79,8.382439
92.456069,93,8.639943
77.245976,275,8.932089
93.109003,73,9.023874
89.977222,115,9.131791
91.480361,87,9.22638
90.305545,106,9.332871
92.591138,76,9.403754
94.067038,72,9.486961
80.768522,205,9.67601
93.110505,83,9.764744
94.561662,84,9.85006
91.290744,90,9.931673
93.29374,77,10.007688
90.693179,116,10.13406
91.767311,85,10.228541
91.950587,84,10.315416
91.636375,85,10.383083
90.858845,93,10.473523
81.577816,190,10.663815
92.745492,82,10.752362
92.095081,95,10.867839
90.594219,103,10.96306
90.741843,101,11.059222
83.484691,191,11.415638
91.460064,89,11.537979
87.232514,168,11.713437
91.525493,100,11.814094
89.470586,114,11.934695
87.190555,134,12.066053
93.020794,77,12.146764
91.004165,90,12.226407
91.772443,89,12.354729
93.479378,74,12.448995
91.470037,89,12.54989
93.478124,78,12.625315
91.012231,98,12.735779
92.507068,77,12.809317
90.19201,100,12.91189
90.002262,107,13.05497
90.124874,101,13.161079
87.08914,136,13.345136
86.232024,172,13.584055
90.731596,100,13.71227
92.981009,79,13.812119
93.559657,78,13.912017
89.604807,108,14.028196
89.901824,104,14.135156
92.150707,81,14.361439
83.120136,176,14.544589
91.4,86,14.65271
92.098009,84,14.7515
91.475022,94,14.839532
85.024651,155,15.007225
91.332566,89,15.102909
91.854489,88,15.191829
93.747435,96,15.3029
89.731214,106,15.411567
91.262806,92,15.510382
92.107861,82,15.590974
90.051734,102,15.705132
85.009046,166,15.907508
90.986463,102,16.037869
81.730075,206,16.25316
81.707537,195,16.453096
91.829871,87,16.557804
89.416914,126,16.683192
83.811334,172,16.898406
92.233155,80,16.992091
91.676625,89,17.269753
93.427931,67,17.342242
90.973068,93,17.425723
80.264266,219,17.668704
91.181894,90,17.773345
92.752986,76,17.836236
91.463322,88,17.956493
91.495341,87,18.049763
90.943527,92,18.15128
87.263947,141,18.283198
84.127562,185,18.50146
82.42676,189,18.699085
90.125413,110,18.818615
91.707514,89,18.914233
91.553095,88,19.003461
90.556638,97,19.129704
92.906381,83,19.219225
92.619877,84,19.305951
91.275125,91,19.389663
92.803374,78,19.467148
91.157403,90,19.555176
92.107606,80,19.633926
90.183165,101,19.747748
91.399185,88,19.834283
85.403158,149,20.151093
91.147989,95,20.261976
90.758763,95,20.355907
89.017436,122,20.503581
85.044364,168,20.671958
90.917177,92,20.789769
92.347956,84,20.916299
90.776776,94,21.048814
91.845,84,21.16906
91.40668,92,21.279074
91.241703,89,21.395224
93.137069,85,21.484278
93.583556,67,21.585347
93.001992,76,21.681224
90.61569,94,21.769594
92.049899,80,21.863228
88.301113,119,21.985812
90.915749,93,22.079145
91.753183,87,22.200549
91.364146,88,22.30447
92.511342,81,22.417011
94.152378,67,22.503017
90.093027,117,22.637214
90.199765,101,22.751535
91.079547,92,22.851568
90.674093,98,22.954054
91.059891,93,23.19913
90.744461,102,23.320633
77.859842,278,23.638258
85.612346,151,23.783513
84.75796,162,23.966825
90.571256,96,24.060962
92.93323,86,24.163583
91.66087,89,24.258234
91.00913,91,24.363086
90.1994,99,24.470706
91.234996,94,24.573106
90.577025,95,24.690086
89.813967,103,24.828803
91.132104,91,24.921621
90.796861,93,25.022727
89.460075,108,25.150321
91.548399,87,25.241455
90.991353,91,25.338293
93.040623,83,25.431007
92.287121,90,25.533594
84.367512,161,25.700842
76.651085,254,26.149258
90.937571,93,26.234039
90.767891,106,26.350776
90.659444,95,26.446917
91.1787,90,26.549305
92.764154,84,26.643451
90.600547,95,26.743269
91.898507,85,26.827798
90.89457,93,26.931815
90.939496,92,27.031794
89.336058,113,27.148899
90.341947,101,27.243061
93.644003,70,27.332003
91.268104,97,27.427095
91.374718,88,27.527209
90.702344,93,27.620766
91.435164,87,27.717761
83.383123,186,27.898931
91.049048,91,28.01067
85.637098,152,28.18193
93.828215,67,28.248594
90.72869,94,28.34847
91.004849,92,28.447375
90.933199,92,28.531738
91.420857,88,28.650355
