#{"t_start": 1721114315.6699111, "env_id": "MountainCarContinuous-v0"}
r,l,t
93.468003,90,1.794928
54.07217,584,3.330045
88.807151,159,3.714782
88.774161,138,4.048399
77.259224,274,4.742508
72.406836,302,5.576436
89.672087,116,5.921895
74.178664,289,6.637756
81.62075,219,7.160676
83.38714,169,7.614199
78.590081,232,8.837743
89.043234,128,9.16987
91.336486,106,9.480218
86.95106,148,9.834713
90.380851,108,10.118882
87.864962,127,10.469671
91.656264,94,10.72107
77.004337,260,11.465296
90.299228,115,11.773679
94.18292,76,11.972577
86.780888,162,12.381446
87.904933,124,12.679814
74.570364,276,13.318553
85.363486,168,13.734163
89.695675,135,14.082743
87.585635,127,14.396965
89.074042,116,14.722872
81.739486,232,15.830882
90.382168,102,16.113087
89.71754,105,16.369029
88.472227,116,16.630956
91.0331,104,16.910325
82.941184,180,17.369128
85.04454,162,17.817865
88.59805,120,18.139639
78.513976,251,18.799773
86.699842,134,19.128519
89.624175,123,19.412724
77.346078,229,19.951012
79.319336,226,20.53933
86.997376,138,20.882908
88.642943,114,21.171649
89.534872,113,21.438692
92.611667,76,21.624379
84.047815,163,22.422636
87.925588,144,22.737162
92.841336,79,22.926763
87.537325,151,23.33472
92.455606,79,23.53752
87.872275,132,23.908732
91.786722,83,24.102669
91.033434,112,24.415064
94.447654,72,24.593441
92.46763,89,24.835439
93.740704,82,25.045372
89.565243,107,25.297424
91.599068,106,25.554062
93.163736,78,25.766922
91.014444,120,26.042506
90.31851,99,26.311173
90.751739,100,26.587183
89.848372,108,26.883893
92.20862,82,27.073138
93.607477,69,27.264578
92.573213,85,27.49282
84.523216,160,27.899714
91.870948,84,28.130832
93.224812,84,28.333127
91.971789,81,28.531143
92.152531,80,28.731102
92.989014,75,29.230607
85.186312,159,29.651409
93.266227,80,29.876697
93.179785,78,30.066329
93.275779,69,30.23618
92.571317,81,30.49041
92.267984,82,30.725924
85.816771,159,31.135069
91.2,88,31.33053
87.634224,137,31.677575
84.248857,172,32.062708
91.978326,83,32.263694
92.615623,79,32.462811
91.966315,83,32.666279
91.786468,83,32.899575
91.64158,85,33.135647
90.880178,97,33.379441
92.058163,80,33.596628
89.189225,112,33.89351
91.475131,87,34.117903
93.125935,71,34.296845
92.010954,82,34.486014
91.660586,85,34.700296
86.25348,147,35.038296
91.163889,94,35.279447
92.74763,76,35.841508
90.865153,93,36.088306
91.466191,88,36.335317
91.352584,88,36.562506
86.370389,174,37.041423
92.594943,78,37.225737
90.97229,109,37.499982
91.485818,87,37.715773
91.400623,88,37.935189
92.490891,77,38.123542
86.330133,162,38.499133
91.858983,82,38.698362
85.576102,164,39.145865
89.187328,130,39.497532
91.641443,93,39.738837
90.325341,112,40.023128
91.148253,91,40.277472
93.664811,77,40.48889
91.120881,90,40.700999
91.511055,86,40.890404
92.466827,77,41.086715
85.786165,152,41.475342
84.900743,163,41.893056
92.021546,82,42.109488
91.301159,88,42.778091
91.334827,93,42.997775
90.899171,93,43.254973
91.714983,84,43.470774
92.022763,83,43.669483
92.437226,79,43.85515
85.598888,161,44.238148
86.647348,144,44.584006
85.873875,161,44.973239
91.3459,88,45.224839
92.399495,77,45.401153
92.19778,83,45.596184
84.70869,173,46.056635
92.17857,80,46.286959
91.44043,87,46.511216
92.13572,80,46.71858
91.104681,90,46.937911
91.646152,87,47.122828
85.32419,155,47.523177
92.067301,85,47.721716
91.50999,86,47.920252
92.377528,94,48.169971
91.480444,97,48.430076
90.135495,115,48.752615
86.869845,145,49.466043
92.306117,79,49.679174
91.30812,89,49.939616
90.937081,92,50.17365
89.158882,114,50.440217
90.857081,106,50.681552
89.302055,110,50.936332
91.954804,84,51.157018
91.239093,89,51.398541
90.640296,95,51.633602
85.02051,163,52.035366
90.686191,120,52.374175
90.952823,96,52.635581
89.280116,121,52.93159
91.721614,101,53.162564
92.231466,84,53.35819
90.589256,96,53.603191
90.929164,100,53.865472
92.090087,91,54.098452
91.322855,88,54.315392
93.200067,79,54.521677
91.007481,92,54.760604
94.258381,69,54.964486
92.999481,74,55.157287
88.005132,128,55.501415
90.689859,94,56.077183
90.268304,101,56.331497
91.581286,87,56.529746
90.632917,95,56.751472
80.225386,235,57.376171
91.156062,91,57.647927
91.794596,83,57.862156
91.513826,99,58.121178
85.732822,160,58.546905
91.614402,85,58.79532
58.190377,454,60.053857
91.192422,89,60.303287
91.263025,89,60.528199
92.525844,77,60.751004
89.847525,106,61.037894
90.992267,91,61.308001
82.986546,185,61.850788
92.168039,85,62.086756
91.134565,90,62.327615
89.892118,115,62.611709
91.592191,87,63.217261
91.400992,87,63.439309
91.53737,86,63.676783
91.867375,83,63.883485
90.758291,101,64.129547
86.039268,146,64.501355
92.282841,88,64.732698
91.860324,84,64.965833
91.378242,87,65.166421
91.761862,84,65.428854
92.057117,91,65.651624
91.577425,85,65.854373
91.890059,82,66.050932
91.700904,84,66.2436
91.293691,88,66.479543
91.85205,83,66.698337
90.814905,103,66.996801
93.808151,76,67.206233
91.911449,82,67.432644
92.521374,77,67.626654
91.5659,85,67.862982
91.307947,88,68.068764
90.093602,110,68.359173
83.513184,168,68.745074
91.782677,83,68.941438
92.313048,80,69.156851
91.796939,83,69.34622
91.60947,85,69.860999
91.542839,86,70.070123
91.380865,87,70.270851
91.599608,85,70.504281
91.394449,87,70.739616
90.522268,97,70.985256
92.255032,79,71.193101
94.379299,72,71.368128
91.493027,86,71.595276
91.58337,85,71.822697
91.51075,86,72.02162
91.655037,85,72.225522
91.557159,86,72.427464
91.598368,85,72.64111
91.210485,89,72.92529
91.415762,87,73.189969
90.996651,92,73.435188
91.555885,86,73.653793
91.000007,91,73.901823
90.964319,93,74.182516
91.631307,85,74.398787
92.369337,78,74.608112
92.021075,81,74.796915
92.060241,81,74.992444
91.9375,82,75.210404
87.110126,138,75.560846
92.551473,77,75.753038
91.543911,86,75.950335
92.315877,93,76.17247
93.844096,85,76.81863
91.740475,83,77.054946
91.833417,83,77.251378
91.799514,83,77.463907
91.815573,83,77.69899
91.959567,82,77.946724
91.96164,82,78.166587
91.695218,84,78.42064
91.924106,82,79.088191
91.910126,82,79.929915
91.358795,88,80.291262
92.075941,81,80.517554
91.8058,83,80.75763
91.801152,83,80.995566
91.790635,83,81.204858
91.796691,83,81.420485
92.233828,79,81.624083
91.849222,83,81.843962
91.422155,88,82.049634
91.779156,83,82.236627
91.640327,85,82.43094
90.483947,108,82.694643
91.726071,84,82.870606
91.398259,87,83.100088
91.966492,83,83.310521
91.5,85,83.547918
91.562781,85,83.768736
92.825768,81,83.991091
92.167677,80,84.198448
91.576313,85,84.453489
91.5,85,85.00048
91.740639,84,85.20627
90.36757,99,85.468088
90.990555,103,85.719439
91.498263,86,85.914379
91.585602,85,86.12438
91.891676,82,86.373041
91.499724,86,86.577945
91.142587,90,86.805544
91.596247,100,87.083679
77.006403,241,87.739303
91.699976,84,87.982474
92.37982,80,88.174664
91.733906,84,88.389493
91.722894,84,88.590495
91.586291,85,88.783182
91.612468,85,88.996834
92.82221,83,89.198677
91.668786,84,89.414377
91.200132,89,89.666442
91.606969,85,89.913883
91.611329,85,90.122645
91.968014,81,90.325523
91.499755,86,90.560711
91.729041,84,90.767406
91.711613,84,90.987927
91.874073,93,91.210167
91.581619,85,91.727984
91.940627,82,91.922886
91.667343,84,92.129482
91.795598,83,92.340929
88.855897,120,92.667628
91.937279,82,92.881311
85.828312,160,93.302887
91.740696,84,93.532524
91.783161,83,93.747927
91.796801,83,93.981745
92.884754,76,94.156629
91.699396,84,94.365016
91.688571,85,94.598844
91.799467,83,94.787784
91.705237,85,94.994617
91.827123,83,95.190308
92.381334,77,95.368172
91.426037,86,95.600123
91.853599,82,95.811476
90.299846,98,96.053093
94.286649,73,96.245553
