#{"t_start": 1721114315.6907084, "env_id": "MountainCarContinuous-v0"}
r,l,t
92.803024,87,1.76783
71.48006,373,2.829703
89.071353,135,3.126822
72.133918,366,4.003505
88.807898,135,4.334724
78.301928,264,5.035316
69.899142,393,6.150048
81.887707,219,6.667787
88.299869,122,6.95847
81.981132,198,7.457376
85.929759,149,7.858796
89.982212,117,8.785044
88.591715,123,9.090964
81.886899,208,9.655316
76.813387,261,10.345302
83.915525,183,10.84673
90.543189,101,11.134487
92.104867,101,11.429196
79.26914,271,12.129815
89.936489,106,12.406921
92.433801,90,12.616828
87.974363,145,12.946921
80.465747,216,13.46044
80.272146,230,14.047402
84.277636,169,14.467154
90.364775,100,14.753112
75.224496,286,16.021636
89.225773,112,16.304118
91.558827,107,16.553905
88.199872,127,16.856224
89.258912,125,17.210304
88.872483,114,17.493872
86.187946,148,17.892132
90.521218,101,18.16703
89.610884,111,18.468803
84.109855,191,18.94946
88.914678,126,19.255442
82.10605,204,19.731923
93.868954,75,19.906121
90.724461,98,20.156662
89.075574,114,20.458822
92.421491,79,20.655991
87.914192,141,21.015767
91.072494,100,21.26429
93.553899,69,21.415904
89.587699,135,21.758409
83.563699,177,22.557786
92.30867,81,22.736453
92.379234,79,22.930526
90.334453,107,23.200997
90.512695,103,23.489551
89.080844,176,23.962652
92.399081,95,24.195051
84.637899,185,24.697702
92.175664,80,24.913271
87.993206,136,25.240372
86.907298,149,25.590295
82.985827,184,26.052371
92.595903,79,26.271734
92.104706,96,26.54072
90.811556,113,26.84179
93.325095,74,27.021795
91.713851,84,27.246794
91.329088,88,27.485253
85.411781,168,27.906492
92.809892,73,28.113557
87.372819,140,28.438026
93.122272,79,28.645071
90.537638,98,29.203799
84.749139,158,29.621094
89.398889,130,29.975896
86.062184,158,30.401938
91.419649,90,30.668367
91.782494,87,30.889793
91.264332,88,31.117275
92.022543,84,31.301707
90.435291,99,31.541793
93.83895,72,31.731827
86.255496,161,32.084884
93.59523,76,32.274706
92.288421,78,32.467397
84.616296,169,32.912324
86.388262,160,33.337912
83.716929,169,33.804914
85.537399,159,34.203631
91.301282,101,34.442166
87.815256,135,34.776181
91.310879,88,34.980568
84.895919,157,35.370255
91.545758,86,35.951847
92.432176,79,36.163321
93.749161,76,36.385015
92.320707,90,36.629585
92.064807,87,36.868632
90.064812,122,37.17637
94.040934,66,37.322715
87.562983,148,37.708504
91.840782,91,37.930968
91.541136,99,38.173228
93.156016,79,38.356148
91.584275,85,38.548762
92.445272,78,38.751791
91.255821,90,39.004452
91.900514,83,39.226555
94.100318,73,39.428777
91.303352,101,39.685084
91.694345,94,39.928582
91.448225,88,40.153492
90.187202,102,40.448027
91.537159,86,40.632892
90.321492,99,40.872135
91.739515,84,41.084489
85.09626,169,41.516006
91.545743,85,41.734135
91.415175,90,41.983483
87.008323,136,42.766115
93.327046,76,42.942383
93.101207,74,43.151807
90.27229,104,43.413362
91.557866,86,43.614002
88.875102,114,43.903771
83.78565,180,44.320222
81.920551,192,44.774141
91.481795,87,45.004377
83.000826,181,45.461666
85.529444,159,45.878555
91.236755,89,46.100623
91.677978,85,46.340491
81.690451,199,46.84517
91.212786,89,47.047083
92.054753,82,47.242925
91.157191,90,47.482793
91.44212,87,47.68982
91.143941,100,47.919015
84.867534,169,48.356312
78.17817,237,49.349106
91.215759,89,49.589835
91.47805,87,49.83389
90.814173,113,50.136748
91.387839,87,50.345366
91.235617,107,50.58175
92.239588,80,50.755617
80.572409,206,51.299047
92.761487,86,51.501741
84.886729,174,51.950931
84.562979,161,52.388001
91.493302,86,52.619782
92.014032,82,52.813936
91.278399,88,53.024964
91.95614,83,53.20907
91.641542,90,53.434901
91.794923,89,53.666306
92.637799,79,53.874586
84.740271,172,54.303149
91.664181,85,54.520308
91.156381,107,54.806234
91.944778,81,55.02424
91.288957,89,55.270608
88.994,116,55.574533
89.86113,121,56.21821
91.541285,87,56.422989
91.189537,89,56.638291
90.767702,94,56.85187
85.267787,175,57.338524
90.83356,93,57.612001
83.367729,176,58.075421
91.071375,90,58.294918
91.130743,90,58.555731
91.218469,89,58.809694
92.472806,78,59.023293
90.87006,93,59.27067
91.758775,84,59.545258
91.547512,87,59.767663
91.345118,88,60.008466
88.551971,132,60.362472
81.697703,188,60.882049
93.041942,71,61.081826
83.743408,168,61.554667
90.929086,92,61.843357
91.454696,88,62.082298
85.209074,167,62.525904
93.12763,72,62.691977
93.755902,77,63.262992
91.911895,83,63.488343
91.812125,85,63.728886
91.436007,87,63.948065
85.361056,152,64.315428
91.54739,87,64.536235
92.241269,91,64.785898
91.660971,85,64.998212
91.751712,88,65.236056
91.772873,84,65.485326
78.415781,223,66.013199
91.176907,89,66.217288
91.597677,85,66.421028
91.827662,83,66.660028
89.217028,118,66.996749
92.245502,84,67.232526
91.497621,86,67.460643
91.569482,92,67.691606
91.721531,84,67.92475
93.067966,75,68.107695
91.425821,88,68.338375
94.236401,76,68.530073
93.841306,76,68.689969
92.325395,90,68.901011
85.393182,153,69.285681
91.412453,87,69.474325
91.133094,90,70.020651
91.289336,103,70.256284
89.98422,104,70.532871
85.347374,151,70.937841
91.452607,87,71.164784
91.461155,87,71.379561
92.162581,80,71.593903
91.697267,84,71.812843
91.240297,89,72.020377
86.479452,154,72.388971
91.073901,91,72.61196
92.083124,81,72.855677
91.736359,84,73.122754
91.596618,85,73.365699
91.408899,88,73.592409
91.553821,85,73.817514
91.221716,88,74.071721
86.626528,161,74.493698
92.364518,78,74.690256
91.573206,85,74.901838
91.289703,88,75.134302
91.879996,83,75.350163
92.107088,80,75.54107
91.822931,83,75.745786
91.644772,85,75.942694
91.194518,89,76.156261
91.91283,82,76.793828
91.8034,83,77.029963
91.697872,84,77.229576
91.712678,84,77.444105
86.256741,161,77.913367
92.552799,80,78.128753
91.033034,91,78.404961
91.732409,83,79.520786
91.637126,85,79.94159
91.446177,89,80.284632
91.75828,84,80.524
91.806642,83,80.76396
92.128658,80,80.986369
91.860361,83,81.218812
91.882267,84,81.417298
91.263397,88,81.643332
91.822393,85,81.863747
91.896866,82,82.054079
91.688621,84,82.242327
91.6,84,82.434887
91.970609,81,82.620583
91.803348,83,82.811812
93.862003,69,82.995389
91.90094,82,83.21319
91.79916,83,83.432388
93.283272,76,83.628039
91.997507,81,83.840311
84.867596,168,84.298064
91.946902,82,84.873334
92.224407,80,85.052048
91.699997,84,85.271625
91.719025,84,85.496082
91.88954,82,85.693634
93.803116,71,85.851928
91.906787,82,86.056153
91.595413,85,86.283264
93.61518,71,86.481762
91.035872,90,86.711827
91.698207,84,86.938698
91.516715,86,87.177279
91.801126,83,87.377868
90.985669,91,87.629341
91.674325,84,87.859233
91.292867,88,88.106548
91.78416,83,88.317779
91.780016,83,88.517641
91.656963,84,88.712195
90.945076,92,88.930372
91.737832,84,89.124601
93.679959,87,89.3641
91.880402,86,89.603968
91.709822,84,89.848678
83.773523,167,90.265299
92.38022,79,90.464101
92.124041,82,90.684668
91.325629,88,90.915179
91.677547,84,91.12347
91.595895,85,91.647745
91.699739,87,91.845954
92.192457,82,92.032508
91.659727,85,92.244086
91.487361,87,92.481081
91.716355,84,92.712475
91.449652,87,92.941701
91.604054,85,93.168059
91.425147,87,93.40018
84.766196,157,93.810364
91.595448,85,94.039755
91.29969,88,94.256991
92.052517,81,94.47325
91.890842,82,94.675873
92.376367,79,94.84857
91.799761,83,95.049114
91.944057,82,95.249243
91.894552,82,95.458683
91.742295,85,95.680958
90.819341,102,95.934097
91.937873,84,96.155322
91.798993,83,96.353982
92.123563,81,96.601791
91.200035,89,96.834085
91.685775,84,97.056696
92.716059,77,97.27564
91.225647,89,97.479569
91.565098,88,97.666716
91.684022,84,97.87753
91.488039,86,98.459986
92.55043,78,98.647685
91.615636,87,98.885435
92.858629,77,99.079047
90.102939,118,99.410586
91.389411,87,99.690803
91.551619,86,99.904748
92.307739,80,100.130225
91.616555,84,100.384648
91.528909,86,100.647788
91.595685,85,100.881811
91.650053,84,101.096868
91.724917,84,101.315707
85.490847,150,101.710259
91.596767,85,101.957578
91.619117,86,102.181839
91.625392,85,102.430669
91.535582,86,102.680107
91.380954,87,102.92248
91.594761,85,103.154536
91.398693,87,103.38113
91.897482,82,103.61698
91.699895,84,103.83399
87.556675,133,104.145876
91.517453,86,104.380893
91.475841,87,104.627851
91.651607,84,104.845926
91.688511,84,105.06182
