#{"t_start": 1721114315.6847098, "env_id": "MountainCarContinuous-v0"}
r,l,t
85.075323,177,2.069574
82.083844,217,2.650162
83.229225,184,3.098152
79.323303,268,3.727947
78.222467,304,4.486794
88.577702,148,4.861945
91.556813,108,5.202753
90.035532,110,5.479995
84.444319,202,6.073317
81.422186,214,6.582994
80.231705,211,7.082914
87.833861,136,7.426093
91.977583,90,7.668786
87.628658,153,8.680964
94.373634,73,8.886832
84.438924,212,9.468965
86.123848,164,9.862906
80.70727,210,10.433757
91.79173,115,10.743434
86.156406,177,11.248884
90.078869,110,11.550649
90.974901,95,11.802443
87.214405,154,12.202513
92.282573,85,12.423412
88.64884,138,12.745492
91.300057,119,13.016971
86.13919,156,13.39346
86.611506,134,13.720357
87.262398,129,14.053401
89.479481,119,14.345727
88.6,114,14.668946
81.210384,193,15.672719
89.180797,125,16.017697
88.286518,140,16.359753
88.655579,123,16.651979
81.739962,190,17.144737
87.31861,177,17.611297
87.297449,133,17.988204
93.580207,71,18.164492
92.99802,76,18.370271
90.260497,138,18.723198
91.193771,103,18.979121
87.770098,129,19.289631
88.440792,141,19.624253
90.764882,126,19.916091
93.240209,72,20.107841
89.984502,120,20.412141
88.9,111,20.69043
91.489026,102,20.942806
81.890372,201,21.43545
87.254143,130,21.768925
91.877457,107,22.414851
91.065648,98,22.62447
92.214741,80,22.814337
90.705911,115,23.097799
80.906414,205,23.67696
89.178337,133,24.00854
92.895057,87,24.213273
92.052429,83,24.473195
88.698042,131,24.808293
90.914967,107,25.071854
90.039694,104,25.320817
89.865601,105,25.574216
91.242462,104,25.848017
90.6,94,26.067206
92.681372,77,26.280989
91.305733,90,26.534283
85.562679,167,26.974135
90.781553,104,27.234799
92.014713,82,27.446511
91.7,83,27.659727
85.162519,163,28.103299
92.638299,78,28.292757
93.319789,67,28.441024
84.793278,162,29.170853
92.52575,80,29.374461
92.489101,85,29.60105
83.458103,179,30.069666
91.819069,84,30.286541
90.002526,109,30.614932
91.313307,88,30.861086
91.578235,86,31.087109
91.156335,90,31.286069
90.757028,93,31.511683
91.656689,84,31.7263
92.035719,84,31.928348
84.666265,167,32.305275
90.936732,93,32.532737
92.175098,82,32.745197
92.05561,82,32.982966
86.994392,136,33.334375
84.522881,182,33.833026
85.96126,163,34.244969
92.030626,85,34.440629
91.794081,89,34.645495
91.225085,90,34.873031
89.263099,110,35.122331
87.767669,125,35.823421
90.334311,117,36.130217
91.647128,87,36.377916
91.381857,90,36.621051
86.750705,151,37.029152
93.129395,70,37.195902
91.490523,86,37.415223
93.708378,75,37.592241
93.635456,80,37.795026
91.339134,90,38.013888
91.3,87,38.226359
84.257796,158,38.59589
91.534044,86,38.825934
94.46999,72,39.019949
91.636432,85,39.248822
91.235513,89,39.487733
92.477646,81,39.696082
91.398946,87,39.922055
90.603569,116,40.238365
91.752749,84,40.466552
91.829135,83,40.6449
83.248892,186,41.100024
91.30441,88,41.301073
91.033039,113,41.620464
82.919339,178,42.081577
85.961779,146,42.893861
93.373032,70,43.059791
91.498001,86,43.300908
92.46447,78,43.493829
87.520209,146,43.84436
91.028186,91,44.056591
89.479759,118,44.337754
91.587424,89,44.554132
86.519129,152,44.919886
92.574532,78,45.146811
90.88204,93,45.367868
88.525274,125,45.672548
91.777288,87,45.908844
90.288157,103,46.185339
92.801436,82,46.419652
85.914804,149,46.783317
91.408433,87,46.988575
90.906271,92,47.202384
93.931952,66,47.354177
86.249165,172,47.783691
90.762326,94,47.998792
91.552517,86,48.221866
73.262384,280,49.338569
91.4,86,49.571881
91.056593,91,49.823947
91.262178,89,50.056269
92.950253,79,50.255527
90.898371,92,50.472062
90.662326,96,50.688294
86.12291,189,51.156134
90.724775,94,51.408408
89.939326,103,51.66391
91.160423,90,51.899058
91.368186,90,52.12256
88.901927,111,52.436741
91.438276,87,52.658768
90.998338,91,52.885044
91.862968,84,53.071718
91.248371,89,53.273648
90.521038,100,53.524604
90.661592,100,53.783576
89.634712,109,54.0656
93.373171,86,54.288453
70.962677,317,55.138026
91.498938,86,55.355061
92.050455,85,55.58253
91.776702,84,56.130113
90.975527,91,56.359368
94.630198,68,56.520474
94.0581,70,56.67835
90.283585,108,56.922493
84.585803,160,57.388594
90.869729,92,57.659775
91.845509,84,57.874528
91.394326,87,58.106379
80.535922,211,58.677057
93.064575,97,58.956828
83.274816,173,59.407788
91.803618,83,59.688244
91.3,87,59.89549
91.213267,90,60.134853
91.221351,93,60.402837
84.434977,165,60.861496
91.357653,88,61.127668
89.628525,107,61.42808
92.001867,83,61.655845
91.484158,87,61.909544
91.505963,90,62.155588
91.541209,87,62.387946
83.516066,167,63.191598
92.25614,90,63.419513
91.680039,86,63.641386
92.222415,82,63.862154
90.890664,96,64.097685
91.599958,85,64.310902
92.615089,83,64.524159
91.531542,88,64.761047
92.262927,93,64.99769
91.082617,90,65.239045
91.559159,85,65.491324
91.693265,84,65.682748
91.597014,85,65.884084
91.652445,85,66.087688
91.484782,86,66.281504
91.515872,86,66.526956
93.590902,80,66.756783
91.316768,88,66.993212
89.744023,115,67.329481
91.578415,85,67.52091
91.380868,89,67.768473
91.517312,97,68.022298
92.567121,100,68.265613
92.338488,82,68.488969
91.86235,83,68.667829
91.606595,86,68.8649
91.988944,81,69.08519
92.71862,76,69.250546
91.692885,84,69.439162
91.093254,90,69.984185
90.882007,93,70.204367
85.080801,157,70.625309
90.083072,113,70.908367
92.01971,85,71.133056
91.675241,85,71.330253
92.901942,73,71.533635
91.803702,84,71.770848
91.646089,84,71.962713
90.974283,92,72.183167
91.697551,84,72.382445
92.056141,82,72.568372
91.784538,84,72.828019
91.88317,82,73.083741
91.646402,86,73.336578
91.664887,86,73.566272
84.585537,159,73.972538
91.768947,84,74.233307
92.883636,73,74.417113
91.599646,85,74.638413
91.73072,84,74.848348
92.771974,78,75.033211
90.062412,102,75.295906
91.774455,83,75.514784
91.799095,83,75.715337
91.795544,83,75.906298
91.899997,82,76.103556
91.877302,82,76.738082
92.334085,84,76.956108
91.807817,84,77.173118
91.8897,82,77.384895
91.892377,82,77.610099
91.635598,84,77.84765
91.687198,84,78.090416
91.947654,82,78.316279
91.737471,84,78.944068
91.5139,86,79.818981
91.784691,83,80.217877
91.808308,82,80.449315
91.726674,83,80.679278
91.630192,85,80.91492
91.716803,84,81.144392
86.377983,161,81.558776
91.992631,82,81.779099
91.873579,83,81.974447
92.255686,79,82.146783
91.892696,82,82.334019
91.628226,85,82.533208
91.646982,86,82.743343
92.388808,85,82.943542
90.793269,100,83.210679
90.184668,105,83.481407
91.526284,86,83.714835
91.997366,81,83.916456
91.757361,84,84.139852
92.280117,84,84.396675
92.024402,81,84.942482
91.88803,82,85.140396
91.781088,83,85.368282
92.018679,81,85.558883
91.944502,82,85.749201
91.885416,82,85.939905
91.749112,83,86.157822
91.439184,87,86.413036
91.613233,85,86.620457
91.560015,86,86.830525
91.495426,86,87.079401
91.385713,87,87.307896
91.644118,84,87.533171
91.4996,86,87.771392
91.455075,86,88.026162
91.901204,84,88.232557
91.736708,84,88.430304
91.002076,92,88.646071
91.669922,84,88.845551
91.571352,86,89.06018
91.432966,87,89.278949
92.179674,92,89.536409
91.698605,84,89.77463
90.512652,111,90.062657
91.740744,84,90.271298
91.992286,93,90.520129
91.699526,84,90.731397
91.446339,87,90.957924
91.696934,84,91.161695
84.816234,165,91.865474
91.144255,93,92.099718
91.798945,83,92.306642
91.809932,83,92.524295
86.976937,137,92.890918
88.757028,122,93.216439
91.791248,83,93.436278
91.820508,83,93.660673
90.234979,109,93.957936
93.822291,74,94.128253
91.586095,85,94.339699
91.481526,86,94.576519
91.790359,83,94.766773
91.736569,83,94.969297
91.522024,86,95.170522
82.067076,187,95.648824
91.897364,82,95.840837
91.498441,86,96.066391
91.583074,86,96.285392
92.107589,80,96.522143
92.161237,82,96.746381
92.194895,91,96.984072
91.631716,84,97.196263
94.043265,72,97.382721
91.699772,84,97.575006
91.698379,84,97.782867
92.814433,82,98.336531
91.760995,84,98.535117
91.667237,84,98.757748
91.176806,89,98.991517
91.397932,87,99.215697
90.933857,92,99.494932
91.267662,88,99.765824
91.707894,84,99.986862
91.199101,89,100.25787
91.281063,88,100.517652
91.498347,86,100.757645
91.674226,85,100.972053
91.673529,84,101.191778
91.499988,86,101.418128
91.689473,84,101.648778
91.090061,90,101.910944
91.357397,87,102.1308
91.680797,84,102.368063
91.682675,84,102.618736
91.800177,84,102.85966
91.763197,84,103.090688
91.65257,84,103.318204
91.209468,89,103.554891
91.677127,84,103.76949
92.330166,89,103.994905
91.862614,83,104.190889
91.823427,85,104.423507
91.68031,84,104.666582
91.691002,84,104.884554
