#{"t_start": 1712518634.8310075, "env_id": "MountainCarContinuous-v0"}
r,l,t
65.39422,518,1.000272
87.562439,157,1.184874
82.258796,281,1.49401
87.336987,159,1.740576
87.127156,153,1.89359
82.381402,200,2.14905
89.95111,119,2.267892
85.401602,163,2.445379
89.590582,117,2.582938
64.182615,417,3.000577
85.713827,165,3.213588
82.336995,196,3.682284
92.034343,83,3.783364
83.538201,183,3.97504
90.696269,102,4.084804
92.529485,80,4.147799
81.322022,222,4.383424
90.26637,104,4.493208
89.634792,121,4.618901
89.692468,121,4.729079
91.71712,109,4.87115
92.638955,82,4.949638
89.64226,111,5.099048
85.836947,186,5.330872
90.35845,109,5.447082
88.723944,120,5.61236
90.4842,103,5.763182
87.674006,148,5.930505
82.465319,201,6.154809
91.485838,106,6.314096
87.239454,142,6.664381
81.341655,208,6.929854
89.737441,152,7.081137
81.335405,214,7.300018
91.11201,93,7.398628
84.202977,178,7.676191
82.727509,208,7.928198
93.010474,71,8.038077
90.435768,96,8.148149
92.655268,80,8.24436
90.323945,114,8.383984
75.574723,286,8.698463
90.42142,117,8.80833
93.217809,75,8.886467
93.140164,77,8.980355
75.977383,270,9.326797
93.733492,87,9.420426
89.393296,133,9.750478
89.286359,110,9.861137
89.497686,141,10.112642
69.080878,341,10.523706
89.470406,116,10.66618
90.256813,116,10.810268
84.410779,209,11.080056
75.834895,287,11.408938
92.600614,82,11.509667
90.035513,102,11.647573
78.53341,253,11.913672
93.597211,99,12.00783
90.099807,104,12.133496
93.656667,76,12.242239
93.37094,89,12.371312
90.919691,97,12.497157
94.143606,72,12.607269
87.330917,135,12.782004
88.55264,131,13.145814
84.964635,180,13.361337
93.715154,69,13.443458
85.409024,179,13.660182
89.6,104,13.780394
89.469177,111,13.892215
90.481904,113,14.041683
87.996853,124,14.190604
82.640167,202,14.410881
87.381351,151,14.573812
92.589131,79,14.6589
89.801768,134,14.80571
92.11063,98,14.923372
91.822009,91,15.02524
92.957978,80,15.14128
84.157984,171,15.31479
93.648456,74,15.387631
86.140222,152,15.61183
89.90458,112,15.727428
92.2,78,15.80863
88.983075,152,16.175078
92.840515,80,16.26923
88.082833,134,16.420747
92.873284,81,16.513384
92.622661,87,16.60782
90.464986,100,16.718264
90.639613,104,16.812925
85.892451,156,16.982562
93.11187,75,17.076733
86.940909,159,17.218045
92.65933,75,17.296687
92.578262,79,17.398204
90.760132,106,17.515417
92.499218,83,17.59393
85.573248,161,17.786193
92.574845,80,17.876528
93.497339,77,17.953623
90.79449,103,18.061771
89.301174,114,18.265363
91.903278,97,18.416786
92.885311,84,18.595432
93.065931,71,18.689674
92.311902,77,18.767805
83.311026,200,18.978202
92.635006,76,19.254506
92.065421,81,19.417056
91.303814,102,19.547527
88.678579,138,19.834141
92.476917,77,19.947781
92.274801,82,20.026294
92.670629,76,20.10897
84.853454,156,20.257634
93.968048,73,20.336152
88.050758,137,20.463199
90.988005,91,20.573284
93.761094,69,20.648459
91.610862,89,20.80722
92.8,72,20.913975
88.905458,142,21.120332
91.981402,83,21.212187
93.648374,74,21.337595
92.166373,96,21.493765
93.238242,72,21.571779
88.725631,139,21.713657
92.692323,80,21.794402
86.855663,144,21.945087
92.675551,76,22.070644
92.7,73,22.149159
92.062571,81,22.246804
90.340147,105,22.358066
76.824205,238,22.796379
86.047438,142,22.945886
92.885083,76,23.023295
85.347788,167,23.211586
92.5741,76,23.297058
93.096175,79,23.443863
90.178517,115,23.60126
93.36474,71,23.67939
92.955987,89,23.780716
88.136253,122,23.910695
92.712082,83,23.99787
91.115002,92,24.085015
92.119005,81,24.179157
92.71935,76,24.379265
91.668695,86,24.506317
92.460153,78,24.568831
93.086648,72,24.647379
87.771272,129,24.77316
92.196512,83,24.865285
92.416853,94,24.958237
91.372157,88,25.052512
85.556998,161,25.22508
88.081617,151,25.411324
92.867845,74,25.505121
92.65289,75,25.724291
92.226233,80,25.834808
92.260653,78,25.925989
92.101315,88,26.023549
89.055713,132,26.180198
91.964301,83,26.274337
90.639767,103,26.390488
93.404905,68,26.461104
92.24954,100,26.554965
85.74589,148,26.727723
92.280117,82,26.837873
85.502377,152,27.07133
92.162221,82,27.181137
93.784293,76,27.307464
91.674904,100,27.525991
92.125214,89,27.66665
91.832463,84,27.776818
93.44732,75,27.855629
90.675574,96,28.013987
88.13789,156,28.167912
93.381776,68,28.246427
92.34836,79,28.376747
91.812545,90,28.560774
91.629749,87,28.684849
90.602888,100,28.874839
92.253377,79,28.986683
93.234427,75,29.122983
92.583084,76,29.424319
85.54562,154,29.581065
92.038241,81,29.704115
91.274087,103,29.854584
92.529554,79,29.972741
92.4,76,30.061872
83.967366,175,30.252269
92.288758,78,30.346416
92.1,79,30.517865
90.930748,94,30.612052
91.601043,98,30.708111
92.295682,83,30.786907
92.22686,80,30.868577
91.841128,83,30.954324
93.405412,71,31.017215
92.403794,78,31.111362
86.766701,148,31.28728
92.242183,79,31.367375
86.398471,155,31.532414
91.72648,85,31.610963
86.53727,147,31.77302
85.566802,152,31.984617
91.887321,83,32.078942
91.943573,92,32.157382
91.986958,83,32.25594
89.48205,126,32.625948
91.924238,82,32.720095
84.155311,191,32.922289
94.163202,73,33.00897
90.045829,103,33.12636
92.186304,81,33.204487
88.818108,127,33.345685
92.281033,82,33.453297
91.459732,87,33.547431
91.907523,95,33.657194
91.385019,87,33.751388
91.396262,95,33.951434
91.838516,83,34.045643
93.916048,70,34.123754
54.549819,474,34.671708
91.426651,88,34.781471
84.1,159,35.016551
91.840945,89,35.112818
91.261913,89,35.204453
91.019459,92,35.312956
86.036862,147,35.478977
83.366977,179,35.868652
91.997668,83,35.951146
93.316925,72,36.034848
94.201785,75,36.114473
92.704939,75,36.191484
84.600295,186,36.481015
85.704505,164,36.787419
90.707416,105,36.918586
92.038865,81,36.99671
91.827748,86,37.098143
91.018469,91,37.176661
93.342964,72,37.25661
92.581002,77,37.349674
91.664562,85,37.496864
91.731215,84,37.584004
91.677072,85,37.678154
85.386035,172,37.851576
91.826498,83,37.949049
92.405901,78,38.043239
