#{"t_start": 1712518722.895871, "env_id": "MountainCarContinuous-v0"}
r,l,t
86.490095,176,0.849811
65.036364,419,1.367044
71.648775,330,1.782618
81.638728,208,2.011203
86.034356,179,2.198548
64.924038,467,2.685459
68.799733,395,3.105115
87.978694,140,3.251904
90.301503,101,3.365867
87.192668,154,3.870089
92.720288,94,4.027889
82.400393,212,4.270377
87.741781,137,4.434202
86.221321,186,4.633976
80.544196,220,4.887912
89.267775,112,4.99613
93.535827,82,5.086312
89.949279,120,5.211242
92.380817,107,5.332711
91.813807,87,5.468163
89.305952,109,5.593683
83.581207,205,5.866116
87.722895,141,6.086607
91.174425,102,6.19516
85.518121,146,6.347666
91.331151,107,6.519783
93.481029,72,6.597147
68.678482,373,7.241232
90.835928,115,7.361755
92.167229,83,7.514326
86.863478,165,7.747728
79.883113,233,7.997563
91.236468,93,8.131179
89.473507,112,8.23092
91.933849,83,8.313112
80.151823,247,8.69801
86.907414,135,8.853875
84.011721,200,9.068891
92.536781,79,9.132234
91.351782,105,9.238972
92.120463,87,9.344439
78.644378,246,9.727609
93.263426,71,9.806547
84.622673,181,10.009608
92.038408,83,10.100655
83.936035,209,10.505363
80.156076,214,10.758326
92.402926,105,10.934824
89.001898,126,11.078079
93.258166,81,11.21131
91.97579,108,11.344609
85.340786,159,11.607046
93.79757,73,11.757759
94.267611,83,11.889161
92.285726,92,12.061015
92.567683,78,12.158055
93.167645,72,12.226151
85.429279,155,12.404862
92.597588,78,12.542718
91.758525,92,12.700411
85.49735,167,12.860599
88.088393,155,13.019898
92.839183,80,13.124766
90.413249,99,13.233099
93.293306,79,13.324504
94.173312,79,13.403039
85.119055,161,13.742248
93.576697,74,13.837394
87.02194,143,13.972104
88.001349,140,14.202348
92.077801,81,14.294577
92.091426,83,14.37497
92.196533,80,14.458368
84.348743,168,14.641809
87.180007,132,14.757893
88.783247,127,14.893942
90.625929,95,15.001322
88.206148,137,15.154227
81.210512,204,15.370974
91.560334,86,15.482593
93.742347,67,15.539552
92.531444,75,15.61757
83.467451,179,15.890039
92.706321,77,15.954526
90.992006,92,16.053169
80.230243,226,16.287272
92.925144,76,16.353308
88.842596,127,16.657259
92.259955,98,16.816424
92.131439,82,16.906207
92.718318,86,16.98476
92.720428,75,17.05596
93.165077,78,17.184994
85.103881,154,17.352515
92.271949,78,17.447613
93.364778,74,17.521041
86.905753,154,17.705149
93.176455,83,17.821724
92.867332,75,17.904917
92.4,76,18.021477
91.909979,83,18.121427
93.197072,76,18.206513
89.825244,108,18.36745
89.88433,106,18.520817
91.824652,82,18.630595
88.740606,116,18.757238
90.235785,102,18.875405
86.974151,157,19.029917
89.812983,112,19.246067
90.634312,95,19.335424
86.722896,149,19.504068
92.224189,80,19.61384
92.960887,87,19.720339
92.02906,86,19.935939
85.504867,155,20.103408
92.338659,80,20.181991
85.106452,164,20.34949
92.444533,77,20.412384
90.915984,106,20.564823
85.098942,160,20.73445
92.062204,89,20.828603
91.863601,95,20.976894
92.146573,81,21.068667
92.373839,79,21.147709
93.019539,70,21.218737
82.780129,191,21.501351
91.993276,82,21.574883
85.180306,165,21.734147
89.762537,116,21.848283
90.960626,91,21.933272
91.639364,85,22.027417
91.958213,83,22.138226
91.999246,83,22.232673
91.036403,93,22.349028
92.579823,82,22.427162
81.256302,197,22.688786
91.541952,92,22.979347
91.6,84,23.118517
91.689678,84,23.197031
91.6,84,23.283711
91.448962,88,23.383197
91.0,90,23.483038
91.909552,85,23.599653
92.757862,79,23.682969
91.352105,88,23.785062
92.917619,75,23.866106
82.322981,182,24.099667
86.998609,136,24.267855
85.791589,163,24.429197
92.468128,78,24.51515
91.293336,89,24.593652
76.095357,262,24.876797
90.371145,99,24.966633
92.758079,84,25.068629
91.097823,98,25.177472
92.428597,82,25.331979
84.722118,162,25.527644
92.019103,82,25.633029
91.658229,85,25.714671
91.314783,89,26.015846
91.819333,88,26.114534
92.788464,81,26.189091
91.200987,95,26.298471
91.071723,92,26.381456
91.55372,86,26.498871
91.681669,87,26.616094
81.463159,193,26.855146
90.837675,93,26.963451
92.961431,75,27.04871
92.155557,80,27.146491
90.964358,92,27.248436
84.255948,160,27.512296
