#{"t_start": 1712518106.8002622, "env_id": "MountainCarContinuous-v0"}
r,l,t
64.704086,483,1.290865
82.23094,216,1.547381
75.578172,285,1.864486
84.720139,180,2.056975
77.606839,282,2.374948
67.10164,399,2.85426
89.547881,123,2.986998
70.291145,355,3.427509
78.789928,252,4.029142
89.168966,124,4.156718
90.720854,121,4.298054
89.916672,106,4.419346
87.245244,163,4.639659
86.572718,137,4.903028
78.014226,284,5.259613
82.755977,218,5.575887
71.540968,325,5.980671
91.387164,95,6.090341
86.748861,139,6.242581
90.569802,103,6.35175
87.122735,156,6.527036
73.519676,310,6.885427
94.070398,83,6.963882
74.347133,316,7.604274
90.68136,106,7.698653
87.460232,134,7.852033
86.655294,154,8.042562
84.736904,179,8.232039
82.026654,193,8.464554
87.925881,129,8.685079
90.972155,110,8.796147
90.108373,103,8.950581
91.613575,100,9.076098
88.60632,116,9.202294
78.501925,223,9.451645
73.401293,330,9.797433
87.30965,133,9.914521
90.600847,115,10.045799
90.186844,107,10.15264
92.08246,86,10.398927
90.677195,96,10.516775
86.828922,141,10.689956
92.650684,85,10.784162
86.702569,148,11.015457
88.259783,120,11.219275
92.584162,86,11.319102
90.586643,98,11.413713
88.93639,111,11.534539
93.770705,80,11.628403
83.26397,216,11.864705
91.285887,94,11.959339
82.419137,185,12.145597
87.300616,147,12.304458
93.024866,84,12.396111
84.416616,169,12.585993
91.135184,92,12.710009
90.344043,99,12.835565
86.477982,158,13.004723
85.540969,160,13.211715
