#{"t_start": 1712518106.7909324, "env_id": "MountainCarContinuous-v0"}
r,l,t
88.694486,153,0.800815
63.157251,583,1.600142
69.736751,362,2.000863
88.885554,130,2.148189
91.249178,115,2.274035
90.911412,105,2.384278
83.160975,220,2.661281
89.114446,123,2.804381
88.379694,136,2.951564
83.083826,222,3.196161
94.329125,78,3.283151
81.113841,262,3.715828
88.736925,123,4.094989
75.274214,302,4.413043
84.635891,186,4.663966
89.871309,118,4.897843
93.290311,91,5.037793
89.810326,106,5.163756
93.555007,78,5.237275
89.935113,113,5.381335
68.840132,335,5.860443
41.165638,656,6.614792
88.897784,127,6.756542
91.333374,95,6.863375
88.050272,143,7.004563
86.598943,162,7.440736
92.961458,85,7.519564
87.216415,139,7.692356
83.983915,165,7.879478
89.557467,142,8.058423
89.898717,124,8.19387
74.290716,289,8.536557
90.625876,102,8.710025
89.490888,117,8.851053
86.006009,143,9.060188
87.315734,130,9.195094
83.82562,190,9.406078
79.666002,217,9.633831
91.276491,124,9.761003
93.924641,76,9.843106
87.385868,156,9.992644
94.197356,74,10.071155
91.681798,93,10.165473
89.017739,121,10.471143
91.04774,122,10.620754
76.482986,281,10.984073
90.971465,92,11.166097
91.139366,89,11.264402
92.585177,79,11.341538
87.402608,155,11.517449
81.033438,227,11.765148
93.977273,80,11.857963
78.927399,230,12.089797
93.054258,77,12.165943
91.307909,91,12.266218
91.48965,88,12.358085
83.270253,185,12.546473
88.070171,127,12.734962
94.125067,70,12.815105
92.092514,86,12.90428
87.161107,137,13.077009
