#{"t_start": 1720382416.3406622, "env_id": "MountainCarContinuous-v0"}
r,l,t
80.670767,257,1.114685
75.163172,304,1.459882
80.854684,232,1.702765
92.762897,77,1.798419
87.191018,161,1.972768
85.682566,150,2.150284
77.710084,308,2.476366
88.589879,126,2.58177
91.82341,111,2.722794
91.985454,85,2.830608
92.873386,81,2.925843
89.26472,115,3.091032
89.822897,116,3.216142
82.183597,203,3.39552
92.466675,84,3.49882
83.056936,209,3.949065
83.411291,196,4.178516
89.760141,123,4.348482
90.848516,103,4.449008
88.909553,141,4.614466
89.16658,113,4.747659
93.772313,82,4.814759
91.3,87,4.910212
84.729225,193,5.116658
89.930353,143,5.293511
89.530533,113,5.441678
81.385163,201,5.657286
88.494469,131,5.841508
88.527462,120,5.962834
90.123967,126,6.0964
85.847207,191,6.296221
93.398114,77,6.362332
83.062064,219,6.626966
93.589678,94,6.979123
92.217211,83,7.054824
91.238472,91,7.179528
93.369101,73,7.313599
86.248349,157,7.521755
84.531978,163,7.71137
90.75176,94,7.829359
89.861912,112,7.944701
90.846912,93,8.044396
81.645919,209,8.25724
91.759482,101,8.392207
91.58147,104,8.535563
86.400082,172,8.694815
93.295557,81,8.794923
91.091062,91,8.873073
92.201142,79,8.944104
76.726212,262,9.293316
89.237891,132,9.43822
74.131163,301,9.805816
90.177206,104,10.121337
90.357279,98,10.310599
90.861093,94,10.435655
86.444717,161,10.636265
87.784033,138,10.788752
86.306629,150,10.991723
88.298583,119,11.12489
83.418407,193,11.324619
85.973811,145,11.458524
85.247319,169,11.63538
92.298511,84,11.741506
90.56508,96,11.835908
93.881889,76,11.924513
90.769129,97,12.01822
78.409699,242,12.251364
88.634388,139,12.402956
85.310821,179,12.587817
93.59733,78,12.680952
90.360255,99,12.819251
85.217047,164,13.188932
91.719641,90,13.293236
91.912738,87,13.386236
82.172261,198,13.570204
89.63301,131,13.706561
88.055609,126,13.818114
85.03978,178,14.00243
91.912032,83,14.082169
91.305749,89,14.232251
91.557068,87,14.338675
88.995056,119,14.456091
90.138214,120,14.654882
