#{"t_start": 1720382416.3563027, "env_id": "MountainCarContinuous-v0"}
r,l,t
70.267413,368,1.213261
94.458875,76,1.318808
89.334741,140,1.468129
91.026555,90,1.549933
91.822823,95,1.660581
77.93885,292,1.982272
91.459305,104,2.127592
81.217594,196,2.331537
77.857744,289,2.59739
89.916247,113,2.758483
81.643872,286,3.117136
73.887642,297,3.411123
83.620688,186,3.812472
83.6262,183,4.043205
78.504112,252,4.365579
85.139616,182,4.582029
84.965184,161,4.750094
88.916412,121,4.86561
82.426637,210,5.081716
87.42566,160,5.282593
88.346656,119,5.434249
90.928944,94,5.531551
91.777347,84,5.610394
86.95161,148,5.825867
92.843754,81,5.921486
91.330764,89,6.010271
90.285316,116,6.131452
93.04871,99,6.225656
86.289986,153,6.381246
86.227902,161,6.564456
85.68292,166,7.007855
90.841424,105,7.123166
89.870468,105,7.30296
86.099384,146,7.480566
80.436519,229,7.765308
82.875297,194,7.978804
79.026304,240,8.226003
91.128049,97,8.329049
80.419349,235,8.623342
92.224241,91,8.720573
88.203793,155,8.878064
84.412192,163,9.022624
91.401464,101,9.190092
91.059842,91,9.315126
90.58677,97,9.406963
91.411665,89,9.512013
83.3581,175,9.72805
87.202729,136,10.093227
92.485133,82,10.220272
91.909662,82,10.356988
93.640918,87,10.494481
91.946168,84,10.589466
85.521544,161,10.773111
87.253882,156,10.976082
90.841854,98,11.076218
71.098633,343,11.425916
86.373331,153,11.588227
91.348118,94,11.675482
86.938718,182,11.897871
92.432547,81,11.97132
89.646103,115,12.093503
91.612898,101,12.18839
93.707702,71,12.251357
77.364012,272,12.539824
89.103133,125,12.674671
93.583922,66,12.787875
90.773107,98,13.088473
85.497178,169,13.273589
92.658422,83,13.355073
88.999289,112,13.478652
91.847308,83,13.554564
92.558777,111,13.649013
82.561437,208,13.849349
88.398603,133,13.98679
88.713201,119,14.153789
79.127098,254,14.440451
91.504151,86,14.589568
89.343297,109,14.739367
92.6571,99,14.873574
91.339173,91,14.954447
91.950648,88,15.048867
90.03425,117,15.174248
88.497917,124,15.299439
88.791749,123,15.422654
89.495053,110,15.522179
91.446974,89,15.601137
90.360291,108,15.768944
88.213578,127,16.121976
90.985963,93,16.21614
74.029342,281,16.537549
91.264864,89,16.620909
88.872893,126,16.737375
85.05907,163,16.904701
92.587203,81,16.987662
91.616115,93,17.086748
90.851683,96,17.183894
93.097328,81,17.262792
