#{"t_start": 1712518775.0184894, "env_id": "MountainCarContinuous-v0"}
r,l,t
70.532262,360,1.077277
85.928961,187,1.292096
91.97271,111,1.413984
89.652694,124,1.561267
79.111279,281,1.893937
73.083629,311,2.244339
86.641716,158,2.428911
90.20786,112,2.581222
82.457382,218,2.87897
89.959439,124,3.029754
78.8325,259,3.359978
91.980343,85,3.443218
91.758185,93,3.56645
93.266726,75,3.661114
89.461715,113,4.045205
84.928183,182,4.243469
91.911944,93,4.359055
81.046222,236,4.611221
90.797247,123,4.7546
78.166567,253,5.025786
87.790714,130,5.196658
71.721143,349,5.579429
74.634339,339,6.025331
89.124315,113,6.166958
91.369901,107,6.290514
92.967009,81,6.39456
87.320541,142,6.568761
92.522527,86,6.671923
89.496641,120,6.840614
85.808659,150,7.225065
91.743567,85,7.328044
91.504755,98,7.462486
91.525616,119,7.610994
81.18808,207,7.841105
93.200571,79,7.921787
88.767175,124,8.062713
91.242883,118,8.192945
92.120065,95,8.318335
69.983968,324,8.702436
91.904381,98,8.823645
87.204731,137,8.97512
86.474853,166,9.158284
88.293097,135,9.301684
85.821174,159,9.48466
82.204917,219,9.741858
90.245044,109,9.853888
93.582452,80,9.942314
91.8,82,10.207297
73.752839,297,10.616679
93.477532,79,10.724097
91.513052,89,10.823574
87.500716,162,10.990831
92.404679,82,11.108201
86.072297,163,11.31507
87.897861,128,11.487214
91.761726,156,11.668229
89.006824,139,11.836539
87.266932,141,11.988932
91.90371,83,12.082574
87.625207,130,12.220809
83.237558,183,12.451042
86.712802,151,12.635693
93.717514,81,12.738524
85.503586,148,12.938821
82.005308,216,13.188112
83.931357,170,13.54136
92.014512,83,13.621247
91.756995,86,13.713158
85.605265,155,13.89806
92.806338,77,13.987401
85.381061,173,14.205213
76.492949,242,14.520457
92.960162,71,14.602412
92.983584,79,14.680916
91.618014,85,14.776536
92.635341,94,14.865728
65.387981,407,15.336106
91.529193,93,15.449456
88.171913,127,15.60247
91.878226,84,15.712227
91.350669,88,15.87948
78.368067,228,16.273094
92.457134,77,16.351205
91.386436,99,16.44753
89.467482,117,16.734915
80.626822,212,16.984399
91.1,89,17.078607
90.717264,108,17.200891
83.926233,181,17.400816
89.278355,109,17.500692
91.81766,87,17.583945
92.060762,84,17.683956
90.957015,97,17.801603
91.316441,89,17.900688
91.657195,85,18.000264
92.125938,81,18.094406
92.828514,84,18.175314
92.231703,81,18.276988
91.181729,97,18.382939
84.491527,170,18.584135
90.416937,111,18.710548
90.213102,103,18.821265
91.6,84,18.916479
78.909137,228,19.153904
92.454078,81,19.23069
94.090444,72,19.316174
91.362209,87,19.602483
93.528969,72,19.68017
90.857623,104,19.780693
89.604551,106,19.894381
83.415265,175,20.094629
89.688644,105,20.192086
92.701304,75,20.286907
76.419094,253,20.572068
90.464422,97,20.66592
92.486959,79,20.73155
91.158103,91,20.832409
91.235319,90,20.933511
91.384594,90,21.062134
91.046119,91,21.164891
88.303248,119,21.291574
84.241229,172,21.469989
91.07527,91,21.571345
90.144411,120,21.727103
91.015242,91,21.819476
88.314223,125,21.996531
89.508366,114,22.10705
91.378988,88,22.201216
85.243467,182,22.612436
84.553618,176,22.827757
83.82087,167,23.011361
90.12067,105,23.152585
93.557615,80,23.231146
92.203218,82,23.310063
90.918652,92,23.403865
91.202282,95,23.531426
92.553523,77,23.609396
84.144643,174,23.830226
89.113956,109,23.955801
90.678742,97,24.082405
90.69975,94,24.19748
93.704644,81,24.288484
83.330078,172,24.461055
92.660846,85,24.556009
85.484484,176,24.760489
89.586523,105,24.983626
88.928717,121,25.183744
93.383665,76,25.265807
91.4,86,25.361158
90.740891,94,25.470162
85.255014,150,25.816139
91.184425,92,25.926302
91.668285,85,26.051703
92.550485,84,26.185603
91.8248,84,26.271245
91.998311,86,26.349801
91.970563,87,26.443957
90.9,91,26.538102
90.935314,92,26.632269
90.451224,97,26.7108
84.176699,183,26.930444
83.396711,174,27.103106
90.68721,94,27.27543
92.964567,73,27.353948
84.544846,157,27.558024
90.270507,100,27.730573
74.647321,269,28.068499
90.5,95,28.163002
91.676172,96,28.351693
88.532473,148,28.505071
82.495414,187,28.693381
89.997983,113,29.051585
91.08574,101,29.185375
84.925994,162,29.357818
84.227668,159,29.558387
93.040083,72,29.645344
83.156,173,29.85911
89.450879,107,29.974641
90.768203,94,30.088644
90.872394,94,30.191921
84.398104,161,30.412716
91.026602,91,30.506852
92.370562,82,30.665121
93.69551,68,30.744134
89.439827,107,30.932493
91.742335,84,31.010926
90.890032,94,31.105062
92.617107,86,31.199439
90.912896,99,31.324962
93.793775,67,31.466301
91.60681,86,31.58295
93.438586,78,31.65351
82.805253,185,31.845562
91.316168,88,31.952551
94.690444,69,32.036267
92.438896,80,32.370433
92.064109,81,32.537995
93.196572,78,32.637748
93.135041,74,32.719693
92.369188,79,32.804517
91.448449,87,32.900026
89.74933,106,32.998842
91.276665,103,33.101659
92.11943,83,33.196428
91.366172,90,33.280363
92.838736,75,33.358339
91.989786,91,33.452478
92.07044,81,33.535913
88.865277,127,33.703184
91.851011,85,33.796962
91.386944,88,33.906734
92.075901,82,34.000904
91.3,87,34.101635
90.19368,103,34.211776
92.900634,77,34.329084
84.451738,164,34.501733
91.516826,87,34.665138
83.297259,187,34.87689
91.650878,84,34.972204
91.503223,86,35.13166
92.551865,77,35.210152
88.846623,120,35.520972
84.225345,169,35.756575
91.135511,90,35.86369
92.536811,86,35.958513
93.885387,66,36.074129
91.399999,87,36.162921
90.628312,95,36.272698
91.250067,89,36.350226
91.285738,88,36.476329
91.89075,87,36.583529
91.014593,92,36.693305
91.40008,91,36.771831
90.459288,96,36.977769
91.983576,83,37.072726
91.188715,89,37.148999
91.586263,88,37.240535
91.522555,86,37.334687
83.74705,166,37.552589
91.2,88,37.676634
90.726174,94,37.783614
90.88128,92,37.883293
89.886549,102,37.99672
88.936078,134,38.145085
89.601927,108,38.270527
91.339624,87,38.380357
91.076301,90,38.496428
87.242747,136,38.770341
83.183072,186,38.984742
90.257715,99,39.091797
85.699288,167,39.254924
91.562717,87,39.380416
91.390211,87,39.474569
91.119128,91,39.568746
88.861432,120,39.674249
90.998773,91,39.784018
82.79439,180,39.988049
91.130056,92,40.096982
74.844852,271,40.37949
91.09988,90,40.520943
91.453815,88,40.612406
90.713112,94,40.708382
83.17356,190,40.9577
89.969043,104,41.078869
89.2,108,41.208977
91.099994,90,41.301996
91.017919,92,41.409143
90.960654,92,41.675558
89.600862,114,41.772347
