#{"t_start": 1720871942.6583798, "env_id": "MountainCarContinuous-v0"}
r,l,t
91.941311,108,1.274282
93.396837,77,1.47863
75.692396,342,2.279431
47.688006,728,4.034226
84.877541,171,4.402946
78.464814,237,4.924953
71.303187,399,5.787229
91.252615,93,6.00211
93.92614,84,6.185819
89.643996,130,6.42326
82.14158,193,7.350852
87.18151,168,7.767878
88.457947,125,8.033806
80.561622,228,8.552805
91.662076,94,8.753729
87.557697,151,9.103872
92.352704,97,9.337601
89.925933,119,9.622149
92.303079,90,9.830934
82.321189,224,10.288221
84.763912,174,10.731765
81.36289,235,11.33402
91.173665,100,11.598425
91.681588,95,11.856873
84.388996,190,12.36443
92.773958,79,12.564974
72.407958,311,13.947714
92.455812,81,14.152973
89.65228,123,14.50152
89.91037,115,14.817302
84.612153,234,15.499621
91.60283,90,15.762207
85.071205,194,16.298876
84.051355,196,16.823154
93.502064,80,17.022288
88.561924,128,17.344174
83.297475,200,17.73159
90.677675,96,17.857167
85.086812,165,18.118829
82.18171,214,18.399788
89.813563,107,18.531431
92.292176,118,18.6863
88.30626,149,18.909405
88.154386,143,19.120331
88.147325,120,19.494407
91.405361,94,19.610598
92.342947,109,19.748877
80.20511,220,20.021123
88.769066,118,20.180414
94.053083,75,20.293483
92.456042,107,20.433604
90.347272,103,20.568203
91.055646,99,20.700182
81.690609,209,20.987492
83.73962,172,21.216765
89.797653,128,21.453379
92.643631,78,21.565883
86.798887,154,21.771676
92.894046,82,21.906078
92.627008,84,22.039691
89.061475,119,22.184702
88.843932,146,22.372862
59.227766,436,23.203734
90.659732,100,23.363655
91.124701,128,23.557832
79.034245,229,23.85808
88.9956,116,24.00172
78.358767,239,24.367733
90.851884,123,24.551384
90.321863,102,24.702456
89.800241,126,24.867272
91.913698,86,24.953321
88.040583,129,25.137954
86.749785,148,25.371183
88.37883,133,25.57206
91.104387,97,25.731894
89.816537,106,25.881289
80.779185,210,26.232945
89.214226,121,26.411233
90.628696,97,26.538482
86.600247,156,26.981914
67.637641,365,27.532386
90.087069,100,27.680995
93.715055,85,27.817509
91.311421,97,27.968652
93.097686,84,28.095248
84.348329,210,28.429445
89.713158,126,28.625122
93.672384,79,28.74816
86.314782,153,28.947927
79.601269,242,29.257176
92.778129,95,29.39626
91.330951,89,29.518567
73.862693,280,29.90658
88.015256,122,30.076012
88.549399,128,30.227284
84.857954,172,30.678266
80.546537,228,30.9882
91.940051,106,31.148606
86.434034,182,31.4343
77.099316,242,31.771546
79.901784,206,32.027351
90.374909,99,32.153757
89.207839,129,32.308512
90.454098,119,32.467971
92.955845,80,32.563195
92.920197,85,32.676302
88.84809,123,32.843966
87.731048,132,33.067845
92.526974,78,33.173719
82.571733,204,33.444367
90.648899,102,33.575768
86.149275,163,33.775605
91.892659,83,33.917773
88.436022,146,34.304673
91.487017,96,34.412668
