#{"t_start": 1720871942.6583798, "env_id": "MountainCarContinuous-v0"}
r,l,t
46.979807,745,2.79876
67.097493,531,4.090304
91.50676,116,4.34201
75.91851,290,4.948956
89.271252,140,5.305475
71.032981,413,6.170183
90.027911,120,6.418252
90.125469,109,6.629857
82.705034,191,7.572812
76.507649,273,8.229343
81.747621,220,8.698848
91.701069,98,8.925458
86.151262,172,9.314392
77.949242,239,9.889845
89.720713,158,10.215521
78.611626,238,10.807968
92.2,78,10.996531
91.569472,93,11.223526
86.055015,157,11.631225
88.139327,142,12.034179
92.236455,99,12.278666
88.823102,119,12.587008
86.598683,178,13.105828
91.994418,110,13.900488
81.087906,210,14.484688
88.197907,120,14.801673
88.281941,120,15.155669
61.10443,470,16.490098
88.528878,122,16.807531
85.027546,167,17.230481
92.690503,88,17.467248
89.146654,120,17.681464
88.02074,128,17.857167
78.766021,237,18.200122
86.788584,179,18.431612
93.53936,81,18.544436
85.02544,193,18.80434
91.097046,103,18.958681
89.975581,109,19.120331
77.299508,262,19.671728
87.439496,138,19.847566
90.303004,117,19.990464
86.870334,132,20.170142
91.343034,97,20.309828
87.584063,153,20.509455
93.427633,81,20.613819
80.99047,210,20.894412
90.763937,113,21.053841
91.549349,102,21.200642
88.269423,121,21.403853
88.896572,125,21.586879
86.750357,168,21.832558
93.647321,75,21.955646
91.933763,89,22.086282
91.230273,88,22.184702
89.51092,130,22.351757
89.902179,112,22.503328
89.162526,123,22.688559
89.92948,118,23.078172
81.138536,231,23.418932
86.75022,143,23.603259
90.036464,107,23.738724
86.9,131,23.922827
90.581747,110,24.072876
93.560177,78,24.20073
89.28844,122,24.383617
82.813398,188,24.661781
91.254183,96,24.799695
92.434516,80,24.89036
88.001242,136,25.056764
85.689039,178,25.3272
85.178786,159,25.57206
81.461064,215,25.901315
80.072162,227,26.282456
88.403745,123,26.465441
90.061161,118,26.615164
83.607515,190,27.12027
91.323166,107,27.288592
74.393079,286,27.704895
89.013621,113,27.891589
84.59503,166,28.139333
87.607739,134,28.349858
77.966156,293,28.812096
89.384503,126,28.947927
82.547131,182,29.193667
89.433184,115,29.362947
83.059457,248,29.710368
90.36883,109,29.86817
88.327226,125,30.019433
91.811789,85,30.132221
90.789028,103,30.266609
91.51257,88,30.38976
92.827243,75,30.69993
89.140371,128,30.867432
90.009268,111,31.023868
82.418311,200,31.338375
80.226962,232,31.683187
89.561425,140,31.848308
85.54393,167,32.060295
91.881512,89,32.179545
84.881753,160,32.379369
88.619477,125,32.531545
83.456473,172,32.759765
92.444529,83,32.876328
88.839324,117,33.076159
89.316244,113,33.227523
83.493724,182,33.472795
89.96786,103,33.602811
90.000113,118,33.744349
92.322099,80,33.880044
88.625813,122,34.058415
89.734401,107,34.376061
87.500385,145,34.553223
91.290208,91,34.672127
91.54325,89,34.776841
88.218867,124,34.945277
91.124511,94,35.084546
80.723161,199,35.351252
93.233447,68,35.457243
72.789582,326,35.913713
92.055214,93,36.034547
81.543917,200,36.306673
91.642403,89,36.423174
89.690496,110,36.574492
91.042473,109,36.746187
91.86995,83,36.872519
93.219432,69,36.957464
92.504972,80,37.055778
91.447282,88,37.172244
91.571057,92,37.322209
87.010098,152,37.54637
90.616183,110,37.705511
90.885511,93,37.991016
84.027203,194,38.294743
91.329927,98,38.461856
85.222174,173,38.679261
88.754968,125,38.838743
84.443775,185,39.070419
79.693496,232,39.359133
92.570116,90,39.487209
85.436566,157,39.693455
85.607422,160,39.891743
90.758489,97,40.008883
85.182355,198,40.269179
83.6128,173,40.490865
93.496816,76,40.595622
89.90563,102,40.747656
84.736128,175,40.985447
91.574458,86,41.115899
90.855398,93,41.251735
90.39356,104,41.585685
79.958439,225,41.901131
92.527393,83,42.004493
81.399852,204,42.284621
91.857612,100,42.427838
85.420493,159,42.634571
92.036652,85,42.738904
81.636755,187,42.992062
92.187965,85,43.098886
92.483689,81,43.208875
90.549027,97,43.337397
91.769484,107,43.47234
86.494112,167,43.687318
91.543326,87,43.799389
91.261358,95,43.929141
91.645503,86,44.065992
88.880251,116,44.232401
77.264156,258,44.5952
89.319341,111,44.729884
89.247897,140,45.096087
93.735082,72,45.232211
91.189072,89,45.367401
93.591286,77,45.498326
88.820759,126,45.68074
92.872458,76,45.773841
92.36774,80,45.880734
88.4,116,46.023467
84.178641,174,46.285441
82.005363,199,46.562034
90.754052,94,46.713751
90.036719,105,46.873132
77.293405,246,47.184938
93.770144,74,47.292941
90.478358,96,47.429718
92.1,79,47.556441
91.58907,89,47.677646
91.737585,87,47.794521
92.220151,90,47.925278
91.640101,87,48.0619
91.042705,91,48.184844
93.168971,77,48.282037
91.740445,91,48.393022
91.299841,89,48.540384
90.616666,97,48.864817
82.268032,186,49.139426
91.741606,86,49.277723
90.845335,93,49.437835
91.497386,87,49.560475
78.990993,219,49.918263
91.17217,89,50.043344
92.758182,98,50.172814
89.311522,117,50.316826
91.857544,107,50.486836
82.63224,182,50.736608
87.970142,127,50.91245
91.062721,90,51.058146
91.816736,86,51.172316
81.760901,205,51.442254
91.338377,89,51.569537
92.673762,82,51.683294
84.285741,169,51.919425
91.662195,85,52.075089
91.262282,104,52.224985
91.347426,88,52.34369
93.113805,80,52.657685
93.883474,76,52.757776
91.967228,96,52.880281
92.565514,96,53.022544
91.370147,92,53.168963
91.230467,90,53.291386
87.894759,130,53.484093
91.494503,88,53.62405
93.771151,84,53.732406
87.377809,132,53.908869
89.241603,115,54.092294
89.621485,114,54.300381
91.66618,89,54.459459
89.362458,109,54.625439
91.559033,86,54.768752
82.757059,184,55.045449
88.072601,128,55.211726
90.631397,107,55.370933
92.726329,89,55.497123
84.30706,164,55.733544
92.537546,87,55.882497
93.423834,67,55.986823
91.640987,89,56.107894
92.15091,87,56.229522
91.370612,93,56.63818
91.195492,89,56.784974
92.361089,79,56.922313
91.448897,95,57.091786
90.921882,99,57.262122
91.121971,90,57.437692
90.617393,100,57.616422
86.879581,156,57.873476
84.443487,185,58.170447
90.041912,109,58.357964
91.866158,96,58.518946
83.879714,207,58.835893
92.927781,82,58.985001
91.040123,102,59.13782
93.27538,91,59.274698
81.765572,191,59.571261
91.843057,84,59.701769
91.302437,89,59.846461
91.414207,90,59.993554
88.176063,123,60.200513
91.818768,99,60.350865
84.213352,184,60.590266
90.203735,107,60.942101
84.927828,157,61.191584
92.413903,80,61.302374
86.528745,156,61.565573
92.446486,77,61.676029
90.771031,95,61.835716
90.868825,93,61.998878
91.048679,121,62.186467
91.454075,87,62.330438
90.002151,107,62.505417
90.863219,97,62.656291
90.752538,93,62.805164
92.667263,76,62.919436
88.730473,117,63.098795
91.534398,86,63.2405
93.61325,79,63.369897
91.900948,86,63.565174
91.730031,84,63.692903
85.715488,164,63.975592
92.612817,79,64.115868
87.611134,159,64.35433
91.285567,99,64.502774
92.573974,77,64.613182
90.355472,103,64.761167
91.829643,84,65.108525
