#{"t_start": 1712519079.9673371, "env_id": "MountainCarContinuous-v0"}
r,l,t
75.95809,321,1.907923
80.791082,238,2.512482
91.117369,93,2.769951
90.913376,117,3.132456
87.594745,174,3.720114
90.988831,119,4.142234
86.658985,186,4.710947
78.367918,239,5.322492
89.900228,130,5.661396
89.688713,134,5.97551
90.56431,127,6.279955
86.932789,142,6.617928
86.383085,145,6.95139
71.851011,337,8.11003
83.306299,189,8.509856
92.555514,81,8.66265
88.094498,139,8.9939
90.163523,141,9.309831
92.840046,79,9.475806
89.396795,115,9.722518
87.083518,147,10.019949
85.734812,179,10.41001
75.271338,297,11.072615
88.478396,124,11.347357
89.632046,105,11.57492
77.616481,250,12.112006
91.905431,106,12.339599
85.013682,196,12.7661
85.777616,163,13.165672
73.847065,282,14.075143
86.076995,154,14.430601
90.909007,106,14.66975
92.263609,93,14.840043
92.016608,80,15.027285
93.117831,74,15.208706
91.892346,85,15.396654
92.728999,96,15.615983
84.477439,168,16.019689
88.939112,128,16.320037
92.193422,80,16.511987
91.104528,106,16.755117
89.940769,114,17.024171
92.122708,96,17.261796
91.816059,90,17.463289
86.981989,144,17.811641
85.622486,164,18.182272
93.700464,72,18.351375
91.967263,92,18.571067
92.847882,78,18.770008
85.12578,162,19.140054
75.490979,259,20.01097
87.995076,175,20.473012
87.905745,148,20.820047
75.059478,271,21.454233
93.837727,83,21.65481
86.213736,168,22.024858
93.325527,86,22.230121
84.956436,161,22.581105
85.270753,170,22.942803
79.578323,235,23.480115
91.899657,94,23.699744
92.828086,74,23.863397
92.594639,85,24.04227
91.367482,88,24.238036
84.514413,171,24.640006
86.8204,162,25.037636
91.536159,87,25.239699
85.370927,155,25.621187
92.820795,77,26.111026
89.47378,117,26.38494
89.361817,115,26.649673
91.417658,88,26.855526
91.53685,86,27.060917
87.297427,148,27.410879
90.448143,106,27.685008
91.081261,97,27.91014
89.319246,111,28.184901
93.440961,77,28.38003
88.876276,133,28.717688
83.81488,189,29.130739
91.832866,86,29.363107
83.730783,169,29.779772
93.803535,66,29.939701
90.88563,97,30.190065
92.278841,79,30.360816
92.735409,75,30.555027
87.092364,145,30.900823
93.306184,72,31.08585
92.423326,78,31.289734
91.987633,82,31.510219
91.139302,99,31.773166
91.842697,88,32.009778
91.427155,86,32.529838
92.23949,81,32.719811
91.890303,82,32.920082
91.495345,100,33.196159
91.4,86,33.429867
92.812438,73,33.624714
90.933285,114,33.920229
90.491708,96,34.162728
86.729915,146,34.524276
85.595768,161,34.945122
92.465506,77,35.152569
91.675465,128,35.46287
85.814164,149,35.854707
91.248669,88,36.064741
93.340852,76,36.269757
92.066036,81,36.509825
92.091176,93,36.769755
82.613492,184,37.283317
85.619608,174,37.755617
91.731115,86,37.975801
91.657096,86,38.232232
91.270276,89,38.481889
94.308786,68,38.66415
92.687528,84,38.89811
93.707793,77,39.08414
91.018357,93,39.711029
91.417977,90,39.961689
91.725521,91,40.199249
91.8,82,40.413572
90.881835,93,40.656612
92.169777,95,40.924865
94.243803,80,41.150253
91.981937,81,41.346454
93.005534,73,41.532998
92.334891,78,41.711782
92.004492,95,41.936696
91.577864,104,42.180128
83.379613,186,42.616578
91.328603,90,42.837319
92.408327,83,43.037724
85.871167,173,43.432252
93.133366,73,43.609884
88.190143,123,43.889791
86.182014,151,44.307958
91.57831,85,44.506856
91.578854,88,44.709687
91.718364,85,44.886633
93.221899,75,45.072839
91.41959,87,45.286671
85.206038,163,45.978358
90.625073,111,46.24185
90.096212,122,46.537061
84.897442,157,46.902897
93.4615,78,47.070961
85.3829,169,47.461947
80.55893,216,47.966894
88.7,113,48.226953
91.457056,87,48.436575
93.462349,85,48.639913
91.8,82,48.853539
90.117281,108,49.096723
92.342005,91,49.307279
91.169798,91,49.516918
83.785213,183,49.938943
91.990744,83,50.094828
91.147676,90,50.298119
91.158284,91,50.517076
91.13065,90,50.746805
92.565145,79,50.914056
86.116327,154,51.26323
89.211071,118,51.546798
92.791467,76,51.729117
91.02218,91,52.286791
92.502058,81,52.478917
91.175863,92,52.704817
83.891171,175,53.128049
91.619413,86,53.368448
91.969627,82,53.573135
93.696366,82,53.786793
90.757802,95,54.001637
91.184027,90,54.223052
91.381803,91,54.447187
91.277998,92,54.683019
88.740199,121,54.99705
90.830538,93,55.254868
93.353385,75,55.451881
90.333516,100,55.701914
93.464021,102,55.959072
91.540308,90,56.175536
89.066093,120,56.482006
90.884917,93,56.702073
91.097932,91,56.917065
91.825358,85,57.12415
91.597847,85,57.317029
89.735693,109,57.590623
83.830363,169,58.017105
74.520823,269,59.040588
93.482258,78,59.231636
91.433553,87,59.447586
84.752319,160,59.846695
91.984226,83,60.107021
91.699908,85,60.359957
93.440582,82,60.633822
92.924005,78,60.870456
91.381702,88,61.148504
91.428555,89,61.386823
90.6,94,61.756903
92.430337,77,62.011035
94.115027,73,62.286703
91.758082,85,62.596794
91.538653,86,62.893173
85.430065,167,63.435883
91.317713,88,63.69506
91.51121,88,63.952767
93.383978,69,64.167949
92.733927,84,64.390833
89.466965,108,64.676135
93.208502,82,64.878185
80.975585,197,65.366797
91.553153,86,65.601017
87.445952,150,66.471693
91.734802,85,66.675932
91.472711,89,66.923698
93.108926,91,67.190019
91.787348,93,67.421772
90.258779,99,67.666036
91.485191,86,67.864159
91.255116,90,68.110815
90.783271,94,68.372104
82.874298,193,68.820594
92.671961,78,69.030959
87.810624,132,69.312707
92.449692,78,69.500868
82.482243,183,69.927252
89.389529,107,70.205177
91.518223,86,70.400905
91.351861,101,70.642224
91.394818,90,70.855021
92.792699,78,71.058253
85.606441,158,71.428991
90.297889,99,71.696439
92.992624,76,71.850671
91.079202,91,72.070958
91.657275,85,72.276462
90.977751,94,72.463222
91.298566,89,73.00106
91.465066,89,73.205797
91.403307,86,73.409327
90.589537,96,73.613914
91.560204,86,73.800992
91.112778,90,74.001209
91.448148,87,74.222592
91.154544,90,74.457749
91.330017,87,74.682216
90.674481,107,74.940897
91.099946,90,75.173692
92.781219,80,75.365062
91.090954,90,75.590892
91.576349,86,75.795666
91.27215,89,76.010899
91.398094,87,76.202591
92.651373,76,76.390929
92.599436,80,76.572272
91.153624,90,76.787375
91.564104,86,77.011759
91.815178,86,77.225619
91.473875,87,77.430916
91.426116,89,77.604777
91.59096,85,77.79317
93.374277,71,77.985717
91.721159,84,78.195712
91.090448,93,78.435736
91.847522,91,78.64561
90.780484,95,79.182793
91.720568,85,79.387165
91.412224,88,79.613991
83.06607,179,80.181063
89.306505,113,80.503083
92.677739,77,80.722521
91.329838,88,80.945892
84.243347,161,81.346049
90.061783,152,81.753195
91.796728,86,81.984973
91.594415,90,82.247685
94.270912,74,82.475274
91.131178,90,82.710663
90.880593,94,82.974123
93.257957,71,83.183468
86.527986,139,83.560984
90.481768,97,83.826036
91.846719,87,84.060782
91.415343,87,84.298589
91.505601,88,84.570917
91.957756,90,84.824942
92.555762,77,85.031279
91.704074,106,85.300853
82.038909,187,85.852522
91.256703,89,86.383045
91.527151,86,86.570653
82.813041,179,86.972237
90.758994,95,87.185729
92.396761,80,87.382454
92.579964,90,87.58589
92.224299,83,87.780746
89.601251,125,88.090993
91.168489,91,88.302501
92.158903,84,88.523154
90.389478,97,88.724229
90.19318,99,89.021003
91.366475,88,89.205711
91.123654,90,89.430782
90.975416,91,89.590888
90.000963,113,89.864864
91.608604,86,90.083775
82.980091,172,90.51106
85.993061,145,90.83547
91.454173,87,91.059148
90.952946,92,91.290775
91.447782,91,91.520944
91.534123,86,91.705781
91.315416,90,91.960769
91.415242,90,92.241583
90.375888,97,92.890969
90.514584,96,93.11596
90.108044,101,93.374126
91.740987,86,93.593229
91.056828,91,93.835787
85.681161,163,94.206807
91.028198,91,94.422411
88.855351,127,94.765749
85.317539,152,95.156376
91.680133,86,95.386017
91.356371,88,95.60516
91.647584,85,95.820927
91.236659,90,96.055165
89.286824,108,96.328202
91.2,88,96.5548
92.568153,85,96.801141
91.234316,89,97.020823
90.529428,107,97.27576
91.367176,88,97.529231
84.205838,176,98.011022
91.147597,90,98.251793
91.480237,87,98.498121
91.34718,89,98.751037
91.59312,88,99.071016
90.925909,93,99.372164
91.532593,86,99.946098
90.846765,93,100.194393
92.231542,79,100.384116
91.459614,89,100.595749
91.669021,85,100.800829
91.104,91,101.053403
90.499069,96,101.348581
90.489152,107,101.766185
90.940579,92,102.049362
90.719679,94,102.342269
90.446299,97,102.639185
92.640125,83,102.881177
91.749607,87,103.134799
91.140077,91,103.394282
91.401711,87,103.627105
90.438855,99,103.897999
91.324875,88,104.182986
91.271059,89,104.447638
91.318473,88,104.646667
91.251451,89,104.917384
90.584046,96,105.19588
91.503297,86,105.465468
91.852486,85,105.714607
90.356994,97,105.983685
89.843712,106,106.303474
91.473295,89,106.547501
91.209793,89,106.777896
90.657526,95,107.314734
91.138406,90,107.52819
91.421434,87,107.760284
