#{"t_start": 1712519991.0584626, "env_id": "MountainCarContinuous-v0"}
r,l,t
78.896499,311,2.098299
75.642829,370,3.008726
88.749614,135,3.325261
93.230639,100,3.554897
91.435327,106,3.800984
79.169127,264,4.407427
85.940532,203,4.901412
89.21825,136,5.257671
88.683175,121,5.541197
85.580491,175,5.949514
75.383705,303,6.688936
87.104825,150,7.034287
93.37465,76,7.211408
90.856769,99,7.836287
82.661748,185,8.287737
93.302789,90,8.478401
90.225389,130,8.774144
85.88589,193,9.291037
92.871642,98,9.529445
90.738643,101,9.788079
88.969165,118,10.072908
88.250712,122,10.372498
81.471329,215,10.88963
94.208729,81,11.077547
80.203669,213,11.595559
93.567548,73,11.770413
77.042355,290,12.45211
93.258421,87,12.665104
90.338327,141,13.018756
88.893846,150,13.375143
90.253424,103,13.603918
90.970883,101,14.15782
94.682629,69,14.319535
93.494218,78,14.505129
88.265742,141,14.892238
87.833505,134,15.230252
91.842472,89,15.452455
93.306186,73,15.624816
84.077581,169,16.049301
89.857353,104,16.300519
94.537785,70,16.488935
86.608696,139,16.835046
85.733512,163,17.261662
92.666019,76,17.504629
84.313489,207,18.100858
92.972889,83,18.351723
79.673157,234,18.949196
91.8,82,19.164141
91.84155,101,19.38919
93.012047,83,19.582056
79.893119,229,20.103407
80.447394,204,20.847951
93.959425,78,21.029029
92.976928,72,21.212734
82.824268,182,21.615459
89.452946,125,22.001819
92.919109,75,22.185089
93.0733,71,22.356153
71.621505,341,23.166352
92.851033,99,23.402049
91.237046,96,23.627021
92.010259,97,23.845522
93.51234,73,24.006162
92.632581,76,24.197318
89.280332,110,24.444391
91.298349,92,24.642602
93.492057,76,24.824534
85.392461,163,25.181436
92.6,74,25.364904
93.041054,78,25.548203
91.018859,111,25.804994
87.972777,135,26.112031
93.836725,77,26.291795
74.751062,302,27.307492
89.189274,131,27.640695
92.501775,77,27.839638
91.996202,88,28.076583
92.297228,80,28.258897
90.202143,100,28.529286
93.667914,83,28.727846
92.438862,80,28.91779
84.107154,183,29.362812
91.755475,88,29.589744
86.934308,153,29.982721
92.546553,78,30.178631
93.990898,67,30.33277
86.606577,148,30.695097
72.375534,304,31.497729
91.329136,97,31.738498
87.583363,147,32.089977
92.915727,87,32.288603
92.12974,80,32.474774
85.719658,155,32.868525
90.781091,106,33.417607
86.590838,137,33.739734
93.068428,72,33.928442
91.961336,83,34.121601
86.589453,143,34.486141
89.767989,118,34.773198
89.463375,110,35.050476
92.028015,81,35.240237
92.306411,80,35.417619
92.163623,80,35.616965
93.71005,77,35.800925
92.2793,79,35.986373
